command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLC --depth=1,0.01678428246,0.00043090702952771584,0.016812786660000002,0.0024754399999999998,0.00234774,0.01599411966,0.01754632766,1,0
lets-list-all-programs count --system=STLC --depth=2,0.01739848696,0.0002707389711273989,0.01737532866,0.0027786399999999998,0.00265794,0.01708399566,0.01795457866,2,1
lets-list-all-programs count --system=STLC --depth=3,0.01748023666,0.0001863354156699386,0.01755026566,0.00282864,0.00271164,0.017236953660000002,0.01768349466,3,1
lets-list-all-programs count --system=STLC --depth=4,0.01745345746,0.0001644621279665589,0.01746551516,0.00281264,0.00270704,0.01716699566,0.01768882866,4,1
lets-list-all-programs count --system=STLC --depth=5,0.017433257360000003,0.0001356659467688109,0.01740532816,0.00283144,0.00267814,0.01719349466,0.01769424566,5,1
lets-list-all-programs count --system=STLC --depth=6,0.017481024260000002,0.00012360388808088158,0.01749530766,0.0028487399999999998,0.0027138400000000003,0.017251619660000002,0.01763912066,6,3
lets-list-all-programs count --system=STLC --depth=7,0.01742630336,0.0000929088680781693,0.01746566216,0.00283884,0.0027060400000000003,0.01726745266,0.01756216166,7,3
lets-list-all-programs count --system=STLC --depth=8,0.01744549496,0.00012336076508089798,0.017440911660000002,0.00282494,0.00274964,0.01727161966,0.017662661660000002,8,4
lets-list-all-programs count --system=STLC --depth=9,0.017687503360000002,0.00010528161722526285,0.01771089066,0.0029612399999999995,0.0028100399999999998,0.017531953660000002,0.017842661660000002,9,7
lets-list-all-programs count --system=STLC --depth=10,0.01744888256,0.00009873220426819005,0.01747339116,0.0029124399999999996,0.0027092399999999995,0.01728799466,0.01756895266,10,20
lets-list-all-programs count --system=STLC --depth=11,0.01736403236,0.0001551403132021316,0.01738657816,0.0028953399999999997,0.00265354,0.01701099466,0.01753761966,11,20
lets-list-all-programs count --system=STLC --depth=12,0.017434111659999998,0.0001070592049631105,0.01744226566,0.0030227399999999995,0.00268594,0.01722441166,0.01756916166,12,32
lets-list-all-programs count --system=STLC --depth=13,0.01729039496,0.00008381504637533795,0.01730651566,0.0030573399999999995,0.0026308399999999997,0.01715986966,0.017405661660000002,13,69
lets-list-all-programs count --system=STLC --depth=14,0.01737999926,0.0001358971213775744,0.01734032866,0.0034384399999999996,0.00267214,0.01720703666,0.01756641166,14,205
lets-list-all-programs count --system=STLC --depth=15,0.01717402406,0.00018075889292535526,0.01716034916,0.00385724,0.00254384,0.01691828666,0.01739407766,15,229
lets-list-all-programs count --system=STLC --depth=16,0.016653836660000004,0.0008056714403504965,0.01685770316,0.0045495399999999995,0.0023640399999999995,0.014451161660000001,0.01726324566,16,422
lets-list-all-programs count --system=STLC --depth=17,0.01670597846,0.00027836095114509146,0.01670443266,0.00602534,0.0022648399999999997,0.01636387066,0.01708887066,17,982
lets-list-all-programs count --system=STLC --depth=18,0.01636588256,0.00024109297061620106,0.01630749516,0.01003784,0.0020980400000000002,0.016002994660000002,0.01671749566,18,2890
lets-list-all-programs count --system=STLC --depth=19,0.028699261659999996,0.00015167975904077202,0.028676453160000004,0.01717774,0.00197594,0.02853574566,0.02899791166,19,3487
lets-list-all-programs count --system=STLC --depth=20,0.04125024916000001,0.0008850266481921753,0.04152609916,0.030788339999999997,0.0020572399999999997,0.03873345366000001,0.04158670266,20,7072
lets-list-all-programs count --system=STLC --depth=21,0.06758976576000002,0.003445103772983834,0.06650311966,0.06175314,0.00209144,0.06639024566000001,0.07739266166000001,21,17325
lets-list-all-programs count --system=STLC --depth=22,0.15650052396,0.005306879521965699,0.15400857816,0.15008984,0.00215414,0.15389741166,0.16670411966,22,51176
lets-list-all-programs count --system=STLC --depth=23,0.30513782836000003,0.004083781082425452,0.30413345316,0.29901794000000004,0.00238394,0.30287728666,0.31666378666,23,66071
lets-list-all-programs count --system=STLC --depth=24,0.6077141240599999,0.007538269022641827,0.60454732766,0.59651244,0.0029534400000000003,0.60271699566,0.6257716196600001,24,142508
lets-list-all-programs count --system=STLC --depth=25,1.36992018246,0.007901560746183164,1.36742801616,1.3574140399999999,0.0036633399999999997,1.35503849466,1.38001207766,25,362981
lets-list-all-programs count --system=STLC --depth=26,3.5676296323600005,0.02057903512703515,3.5681247656600004,3.553608739999999,0.006423340000000001,3.5431609946600005,3.61606399466,26,1086700
lets-list-all-programs count --system=STLC --depth=27,7.1328928201599995,0.014701935953195577,7.1321184326600005,7.117883539999999,0.009627939999999998,7.10690136966,7.15704991166,27,1484328
lets-list-all-programs count --system=STLC --depth=28,14.43685549516,0.022374623355836374,14.43413701616,14.415936740000001,0.017758740000000002,14.40756849466,14.473379078659999,28,3353864
lets-list-all-programs count --system=STLC --depth=29,34.02530705726,0.074314799657331,34.03007443266,33.98473324,0.03888234,33.85154795266,34.12866682766,29,8847484
lets-list-all-programs count --system=STLC --depth=30,92.87470012426,0.19320387660292243,92.87207145316,92.76218103999999,0.10038764,92.59344316166,93.24166841166,30,26982292
