command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLC --depth=1,0.01912500258,0.001979891620383412,0.01802860238,0.0035004599999999995,0.0035623799999999995,0.017575894880000005,0.02289114388,1,0
lets-list-all-programs count --system=STLC --depth=2,0.018095552480000006,0.0006458992473357851,0.01794047738,0.00284856,0.0031383800000000005,0.017256977880000003,0.019066144880000004,2,1
lets-list-all-programs count --system=STLC --depth=3,0.01757436918,0.0008831864691021498,0.017333123380000003,0.0026307599999999993,0.00312178,0.016173227880000002,0.018878893880000004,3,1
lets-list-all-programs count --system=STLC --depth=4,0.017629552780000002,0.0005465703216631773,0.01757274838,0.00270326,0.00303658,0.01670343588,0.018497727880000002,4,1
lets-list-all-programs count --system=STLC --depth=5,0.017616160980000004,0.00021308584208063082,0.017598623380000004,0.00285636,0.00301808,0.01735539388,0.017954810880000005,5,1
lets-list-all-programs count --system=STLC --depth=6,0.01776197758,0.0007879542096057003,0.01769760238,0.0028178599999999997,0.00306168,0.01663647688,0.01898872788,6,3
lets-list-all-programs count --system=STLC --depth=7,0.017783719380000004,0.00029193183205149877,0.01769135288,0.00296116,0.0031730799999999996,0.017425602880000002,0.01817185288,7,3
lets-list-all-programs count --system=STLC --depth=8,0.017658398380000002,0.000690614069864438,0.017575081880000003,0.0025817600000000002,0.00302078,0.01651051888,0.01869564388,8,4
lets-list-all-programs count --system=STLC --depth=9,0.017948823280000005,0.0010734521594008123,0.018048789380000003,0.00271746,0.00307978,0.016567602880000004,0.019419685880000002,9,7
lets-list-all-programs count --system=STLC --depth=10,0.01823798168,0.0009523362927290154,0.01806272738,0.00282186,0.0033358800000000003,0.01709601988,0.019866435880000005,10,20
lets-list-all-programs count --system=STLC --depth=11,0.01666274008,0.0004556180265499708,0.01668024788,0.0024670599999999997,0.0026745799999999998,0.01564481088,0.01727185288,11,20
lets-list-all-programs count --system=STLC --depth=12,0.017558735880000002,0.00039907958527063094,0.017694394380000002,0.0028075599999999997,0.0029815799999999997,0.016678310879999998,0.01798739388,12,32
lets-list-all-programs count --system=STLC --depth=13,0.017770190080000005,0.0004464671140965843,0.017592414880000004,0.0031479600000000004,0.00315838,0.01736706088,0.01873618588,13,69
lets-list-all-programs count --system=STLC --depth=14,0.01832997768,0.0008929827251641049,0.018558623380000003,0.003332260000000001,0.00359148,0.016700185880000003,0.019634394880000003,14,205
lets-list-all-programs count --system=STLC --depth=15,0.017637664880000004,0.0005320527158069526,0.01757208188,0.003634860000000001,0.0030385800000000004,0.016481518880000004,0.01834839388,15,229
lets-list-all-programs count --system=STLC --depth=16,0.018054890080000004,0.001319003480363516,0.018616852380000003,0.00484376,0.0033541800000000004,0.01581285288,0.019389768880000005,16,422
lets-list-all-programs count --system=STLC --depth=17,0.01703325268,0.0006861000577779053,0.01708383188,0.00603836,0.0025190799999999995,0.015524185880000001,0.017957644880000005,17,982
lets-list-all-programs count --system=STLC --depth=18,0.016974527580000003,0.00033440502487720275,0.01693487288,0.010716759999999999,0.00244408,0.016442060880000005,0.017522268880000004,18,2890
lets-list-all-programs count --system=STLC --depth=19,0.029954094080000004,0.0008335518603628691,0.029833498380000004,0.018606260000000003,0.00295638,0.028897101880000005,0.03127047788,19,3487
lets-list-all-programs count --system=STLC --depth=20,0.041519519180000006,0.0007364652301788965,0.041650248380000005,0.032982460000000005,0.0025082800000000003,0.03950756088000001,0.04212306088000001,20,7072
lets-list-all-programs count --system=STLC --depth=21,0.07941118578,0.0006021275366729839,0.07949301888,0.06790386000000001,0.00274648,0.07796297688,0.08006935288,21,17325
lets-list-all-programs count --system=STLC --depth=22,0.25692646928000007,0.07646289240963065,0.22778466538,0.18851156,0.00753318,0.17748239388,0.39361793588000005,22,51176
lets-list-all-programs count --system=STLC --depth=23,0.35513054408,0.017223183420457,0.36031068588000004,0.32972296000000006,0.005318580000000001,0.32781864388000004,0.38681122788,23,66071
lets-list-all-programs count --system=STLC --depth=24,0.69400663598,0.08104921550934377,0.65493749788,0.64465246,0.00767818,0.6352779778800001,0.87146985288,24,142508
lets-list-all-programs count --system=STLC --depth=25,1.5533091107800003,0.25027844047967657,1.4731373528800003,1.47356226,0.013270680000000002,1.4359377268800002,2.25848706088,25,362981
lets-list-all-programs count --system=STLC --depth=26,3.8111976691799994,0.16337174450611736,3.75377445638,3.70327646,0.02114338,3.68638010288,4.23287331088,26,1086700
lets-list-all-programs count --system=STLC --depth=27,7.55292876078,0.15159891559765762,7.5280027268800005,7.454501459999999,0.03436557999999999,7.38326347788,7.83052964388,27,1484328
lets-list-all-programs count --system=STLC --depth=28,15.101244560880001,0.06802731082146204,15.096362644380001,15.047506160000001,0.03446198,14.94784926888,15.19643456088,28,3353864
lets-list-all-programs count --system=STLC --depth=29,35.50496586098,0.30592081404065197,35.45827595688,35.41452136,0.06097198,35.12017414388,36.01045031088,29,8847484
lets-list-all-programs count --system=STLC --depth=30,94.72128205268,0.3514095718671968,94.65467781088,94.58188865999998,0.08687628,94.21022493588,95.29167676888001,30,26982292
