command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLC --depth=1,0.017370670639999995,0.0007292220481636655,0.01724274134,0.0025650000000000004,0.00279868,0.01644649134,0.018735658340000003,1,0
lets-list-all-programs count --system=STLC --depth=2,0.01650082074,0.0005226248563415683,0.016630324840000002,0.002298,0.0023861799999999995,0.01508320034,0.016927783340000002,2,1
lets-list-all-programs count --system=STLC --depth=3,0.01641960394,0.0005059354213450565,0.016494283340000002,0.0022608999999999997,0.0023284800000000004,0.01504782434,0.01683090834,3,1
lets-list-all-programs count --system=STLC --depth=4,0.016794829240000003,0.0013293237338952509,0.01651422084,0.0024452,0.0024944799999999994,0.014558241340000002,0.01914524134,4,1
lets-list-all-programs count --system=STLC --depth=5,0.01764777504,0.0019137660920493945,0.01702344984,0.002554,0.00272238,0.01640478334,0.02284407434,5,1
lets-list-all-programs count --system=STLC --depth=6,0.01630285424,0.0005309390813527067,0.016392783339999998,0.0022715999999999995,0.0023426799999999998,0.01489107434,0.016899200340000003,6,3
lets-list-all-programs count --system=STLC --depth=7,0.017767350140000002,0.0017483720142153704,0.01681319984,0.0026793999999999998,0.00279848,0.01570195034,0.02096765834,7,3
lets-list-all-programs count --system=STLC --depth=8,0.01696269154,0.0007425727173483928,0.017081324840000002,0.0025099,0.0027049799999999996,0.01548844934,0.01796032534,8,4
lets-list-all-programs count --system=STLC --depth=9,0.01656161674,0.0005148389202695021,0.01661282534,0.0023550999999999997,0.0024979800000000003,0.015539700340000002,0.01722865834,9,7
lets-list-all-programs count --system=STLC --depth=10,0.01641510834,0.00038578942879964416,0.016559095840000003,0.0023658999999999998,0.0023844799999999996,0.015691991340000003,0.01680386734,10,20
lets-list-all-programs count --system=STLC --depth=11,0.016270966840000005,0.0007923796045461569,0.016534949840000004,0.0023824,0.0023645800000000002,0.01426578334,0.016862908340000003,11,20
lets-list-all-programs count --system=STLC --depth=12,0.016924445940000005,0.0011680435700581848,0.01646917934,0.002606,0.00255448,0.015675825339999998,0.019527658340000004,12,32
lets-list-all-programs count --system=STLC --depth=13,0.01613635024,0.0004595624814109006,0.016258554340000002,0.0025992999999999997,0.0023405800000000005,0.015297492340000001,0.01664824234,13,69
lets-list-all-programs count --system=STLC --depth=14,0.016303712640000002,0.001002262384116283,0.016572096340000002,0.0030587,0.00255648,0.015051116340000002,0.01786778334,14,205
lets-list-all-programs count --system=STLC --depth=15,0.01689506254,0.0009213423810736158,0.017145908340000002,0.0037916,0.00270648,0.014848950340000002,0.01769269934,15,229
lets-list-all-programs count --system=STLC --depth=16,0.016353287440000003,0.0009016730817196871,0.01661311634,0.004740199999999999,0.00253838,0.014345575340000001,0.017612408340000003,16,422
lets-list-all-programs count --system=STLC --depth=17,0.016475187340000003,0.0005999424026952728,0.01674363734,0.007004399999999999,0.00246828,0.015295783340000002,0.01705053334,17,982
lets-list-all-programs count --system=STLC --depth=18,0.01804305854,0.003582754833602483,0.016970325340000002,0.012588199999999999,0.00243148,0.01668974234,0.02823265834,18,2890
lets-list-all-programs count --system=STLC --depth=19,0.029130224939999998,0.0008210856686259561,0.029478887840000002,0.022199899999999998,0.00250558,0.02754278334,0.02980153334,19,3487
lets-list-all-programs count --system=STLC --depth=20,0.054228770940000004,0.0011000537267634003,0.054773512840000003,0.04079359999999999,0.00273448,0.05186420034,0.05497761634,20,7072
lets-list-all-programs count --system=STLC --depth=21,0.09091045014000002,0.0014136433685660757,0.09094932534,0.0838134,0.0026114800000000002,0.08850224234000001,0.09244999134000001,21,17325
lets-list-all-programs count --system=STLC --depth=22,0.20863919174000004,0.008492818732006134,0.20470001234000001,0.19869389999999998,0.0030448799999999994,0.20289715834000002,0.23017299234000002,22,51176
lets-list-all-programs count --system=STLC --depth=23,0.40646167074000006,0.004143917721691479,0.40491151234,0.39605569999999996,0.0032513799999999995,0.40233945034,0.41561344934,23,66071
lets-list-all-programs count --system=STLC --depth=24,0.79297113344,0.006573763515532129,0.79038255434,0.780435,0.00389678,0.78377465834,0.80411107534,24,142508
lets-list-all-programs count --system=STLC --depth=25,1.78089170424,0.007380760199937528,1.77990763734,1.7654657999999999,0.00588288,1.76776494934,1.7925582423400002,25,362981
lets-list-all-programs count --system=STLC --depth=26,4.55394752504,0.03407038378556143,4.547478616339999,4.518702,0.01165018,4.4978336173399995,4.60414899234,26,1086700
lets-list-all-programs count --system=STLC --depth=27,9.294659566640002,0.03065282141128829,9.308189887840001,9.2668757,0.017501479999999996,9.21753845034,9.31605028334,27,1484328
lets-list-all-programs count --system=STLC --depth=28,18.72470531244,0.20333247154474898,18.678880137340002,18.621703099999998,0.042539179999999996,18.379802199340002,19.06551407534,28,3353864
lets-list-all-programs count --system=STLC --depth=29,44.40743582074,0.21739336704362727,44.37409569984,44.1616446,0.15308477999999998,44.06320311634,44.736389408339996,29,8847484
lets-list-all-programs count --system=STLC --depth=30,119.51187485414,0.9276387060085253,119.75317926184002,118.49742319999999,0.49480978000000003,118.35234382534,120.74437390834001,30,26982292
