command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLLC --depth=1,0.019274231580000002,0.0004798102082931574,0.019410631680000002,0.00254902,0.0024164,0.01834467268,0.01984654868,1,0
lets-list-all-programs count --system=STLLC --depth=2,0.019782173180000005,0.0016735356973770132,0.020175027180000003,0.00291882,0.0029684,0.01556417268,0.021187797680000002,2,1
lets-list-all-programs count --system=STLLC --depth=3,0.020353964980000003,0.00037157490076252143,0.020290006680000004,0.0031902199999999997,0.0029459,0.01992983968,0.020970922680000004,3,1
lets-list-all-programs count --system=STLLC --depth=4,0.020379281580000002,0.0012470293511436116,0.02068979818,0.00343332,0.0031306,0.01689108968,0.021063298680000002,4,1
lets-list-all-programs count --system=STLLC --depth=5,0.021102306680000005,0.0004625762516657231,0.021030173680000003,0.0035487199999999996,0.0032045,0.020525089680000004,0.02226079868,5,1
lets-list-all-programs count --system=STLLC --depth=6,0.020389464980000004,0.0013833842194612659,0.021009173180000004,0.0036805199999999996,0.0031858999999999993,0.017435048680000002,0.021355214680000005,6,2
lets-list-all-programs count --system=STLLC --depth=7,0.02096061508,0.00015726736608308406,0.02096194418,0.0035596199999999995,0.0031088000000000005,0.020676256680000005,0.02128146468,7,2
lets-list-all-programs count --system=STLLC --depth=8,0.02124766068,0.0005276711550569266,0.02117259018,0.00337272,0.0033021999999999995,0.020403215680000003,0.022220422680000004,8,3
lets-list-all-programs count --system=STLLC --depth=9,0.02032011088,0.0008555293092615315,0.02055154818,0.0034869199999999997,0.0030769999999999994,0.01836233968,0.021104756680000003,9,3
lets-list-all-programs count --system=STLLC --depth=10,0.019966644080000005,0.00030963471177868155,0.019918798680000002,0.00305842,0.0027500999999999997,0.019525547680000005,0.020468006680000005,10,5
lets-list-all-programs count --system=STLLC --depth=11,0.019961169280000003,0.00018524329923715602,0.019954881680000005,0.0031081200000000002,0.0027463999999999995,0.019712381680000002,0.02031021568,11,5
lets-list-all-programs count --system=STLLC --depth=12,0.02028429438,0.00040570613424854683,0.02045298618,0.003530919999999999,0.0029471,0.01926658968,0.02062734068,12,9
lets-list-all-programs count --system=STLLC --depth=13,0.020364840180000003,0.0006354245818403194,0.020505048680000002,0.00383042,0.0029911,0.018805339680000005,0.020899298680000004,13,9
lets-list-all-programs count --system=STLLC --depth=14,0.01952677758,0.001294189106689714,0.019496860680000002,0.0037153200000000003,0.0028231999999999992,0.016603589680000003,0.02114379868,14,16
lets-list-all-programs count --system=STLLC --depth=15,0.019209956680000004,0.0002329840187590359,0.019166402680000003,0.00376282,0.0024383999999999994,0.01891163168,0.01962588168,15,16
lets-list-all-programs count --system=STLLC --depth=16,0.01874555658,0.00016825857454951096,0.01872181918,0.004523620000000001,0.0022224000000000002,0.018536172680000004,0.019004298680000004,16,34
lets-list-all-programs count --system=STLLC --depth=17,0.01867133578,0.000060934730389618805,0.018663298180000003,0.00675822,0.0022584999999999997,0.018557215680000003,0.018751714680000003,17,34
lets-list-all-programs count --system=STLLC --depth=18,0.01857664408,0.00008230537580552722,0.018562027180000003,0.011547319999999998,0.0020717999999999995,0.01846629868,0.018732714680000005,18,65
lets-list-all-programs count --system=STLLC --depth=19,0.03355159828,0.0010973230481472426,0.03356792318,0.01813272,0.0021769,0.030720006680000002,0.034784131680000004,19,65
lets-list-all-programs count --system=STLLC --depth=20,0.048689585980000005,0.00017951958130834245,0.04864279868,0.03326712,0.0020980999999999994,0.04855721568,0.049174881680000004,20,151
lets-list-all-programs count --system=STLLC --depth=21,0.07856268988000001,0.002780675237369707,0.07866117318000002,0.06672741999999998,0.0022504,0.07473450668,0.08544775668000001,21,151
lets-list-all-programs count --system=STLLC --depth=22,0.15345012747999998,0.0018959692603646063,0.15378636118,0.14041561999999996,0.0022768999999999992,0.14819050668,0.15511933968,22,315
lets-list-all-programs count --system=STLLC --depth=23,0.26096926098000006,0.005251825918461482,0.25896975668,0.25065052,0.0024792,0.25500858968,0.27144146468,23,315
lets-list-all-programs count --system=STLLC --depth=24,0.5153946524800002,0.002683537881756163,0.51460977768,0.50255922,0.0029661999999999996,0.5127248816800001,0.52230471568,24,738
lets-list-all-programs count --system=STLLC --depth=25,1.11287986488,0.05240828239840369,1.1281022356800001,1.09889602,0.0035832000000000004,1.05029838168,1.17270659068,25,738
lets-list-all-programs count --system=STLLC --depth=26,2.6349474776800004,0.014613052802649653,2.63468313168,2.6230881199999994,0.0048602,2.61095550668,2.65357367368,26,1708
lets-list-all-programs count --system=STLLC --depth=27,4.87160119018,0.07615923765422639,4.8497019861799995,4.8586578199999995,0.0061914,4.78970550668,5.06127042368,27,1708
lets-list-all-programs count --system=STLLC --depth=28,9.97366633558,0.04672294528289051,9.98695754818,9.95381332,0.0101384,9.88671258968,10.02938783968,28,3969
lets-list-all-programs count --system=STLLC --depth=29,21.33656314008,0.0983336386576549,21.345946194680003,21.306519619999996,0.0186862,21.18048421568,21.48688854768,29,3969
lets-list-all-programs count --system=STLLC --depth=30,53.94484936918,2.134877195792003,52.88385736118,53.799022519999994,0.0475784,52.25223142268,57.638502214679995,30,9790
