command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLLC --depth=1,0.01440305258,0.0012298896201351655,0.013655644580000001,0.00209714,0.00214288,0.013577394579999999,0.01626231058,1,0
lets-list-all-programs count --system=STLLC --depth=2,0.01572558608,0.0011248933159965046,0.01620104008,0.0022325399999999994,0.00254918,0.01359839458,0.01653943658,2,1
lets-list-all-programs count --system=STLLC --depth=3,0.015736835980000002,0.0010633148643857105,0.01622104008,0.0021802399999999995,0.0022205799999999998,0.01371431058,0.01669922758,3,1
lets-list-all-programs count --system=STLLC --depth=4,0.01627881898,0.0009086497091764732,0.016349894080000003,0.0023276399999999997,0.0025679799999999997,0.014805560580000002,0.01765176858,4,1
lets-list-all-programs count --system=STLLC --depth=5,0.015727965079999996,0.0009340959394415365,0.01622635258,0.00225354,0.0023169799999999993,0.01376189458,0.01660243658,5,1
lets-list-all-programs count --system=STLLC --depth=6,0.015456185980000004,0.0010801524248434363,0.01614018608,0.0021657399999999998,0.0021691799999999997,0.013613352580000002,0.016406727580000002,6,2
lets-list-all-programs count --system=STLLC --depth=7,0.01574603158,0.0010717031942723482,0.01619001858,0.0022494399999999997,0.0023095799999999994,0.01369222758,0.01648864458,7,2
lets-list-all-programs count --system=STLLC --depth=8,0.016228077780000003,0.0002990851158612431,0.01627793608,0.00234794,0.0024817799999999994,0.015708310580000003,0.01667951958,8,3
lets-list-all-programs count --system=STLLC --depth=9,0.01646446918,0.0005438545673815955,0.016252185580000002,0.00234494,0.0024374799999999997,0.01591660258,0.01788247758,9,3
lets-list-all-programs count --system=STLLC --depth=10,0.01738419448,0.0011018002484383302,0.017941540080000002,0.0027070399999999995,0.0033173799999999995,0.015248810580000001,0.018213311580000002,10,5
lets-list-all-programs count --system=STLLC --depth=11,0.01605953168,0.0008106355238423812,0.01628564458,0.00256974,0.0026797799999999997,0.01379006058,0.01652101858,11,5
lets-list-all-programs count --system=STLLC --depth=12,0.015994364980000002,0.0008390721497568614,0.016245394080000003,0.0026254399999999993,0.0026418799999999992,0.01363314458,0.01651651858,12,9
lets-list-all-programs count --system=STLLC --depth=13,0.014936965180000003,0.0013803791571769292,0.014954957080000001,0.0028576399999999994,0.0023023799999999993,0.013566394580000002,0.01632651858,13,9
lets-list-all-programs count --system=STLLC --depth=14,0.01572112328,0.0010860688507994783,0.01622981108,0.0035384399999999995,0.0024222799999999997,0.01358501858,0.01629881058,14,16
lets-list-all-programs count --system=STLLC --depth=15,0.016264031680000002,0.00003923790974852395,0.01627714458,0.00430334,0.00240878,0.01620151858,0.01632435258,15,16
lets-list-all-programs count --system=STLLC --depth=16,0.01599779398,0.0008034493187263414,0.016265852580000004,0.007030039999999999,0.00228228,0.013722435580000001,0.01634376858,16,34
lets-list-all-programs count --system=STLLC --depth=17,0.027916611079999997,0.0008272059292032086,0.02776599858,0.01333564,0.00249878,0.026871269580000003,0.02883289358,17,34
lets-list-all-programs count --system=STLLC --depth=18,0.029415523480000004,0.003476594882099579,0.028608602580000003,0.02353134,0.0024655799999999993,0.02669339458,0.03878514458,18,65
lets-list-all-programs count --system=STLLC --depth=19,0.05315065658,0.0005643295138151905,0.05325949808,0.045167039999999985,0.00232748,0.05224593558,0.053815560580000005,19,65
lets-list-all-programs count --system=STLLC --depth=20,0.11798392358000002,0.004170817210429051,0.11629031108000001,0.10891084,0.0030563799999999996,0.11459506058,0.12671622758000003,20,151
lets-list-all-programs count --system=STLLC --depth=21,0.26930860677999996,0.024168342635413922,0.25943660258,0.24971293999999994,0.0037639799999999992,0.25048285258,0.32180372758000003,21,151
lets-list-all-programs count --system=STLLC --depth=22,0.51203210258,0.006940724952845112,0.51381118608,0.49897023999999995,0.004719779999999999,0.50116993658,0.5200183525800001,22,315
lets-list-all-programs count --system=STLLC --depth=23,1.2106090693800005,0.013759372278844804,1.2078684985800001,1.19369354,0.007797579999999998,1.1955192275800002,1.24659076958,23,315
lets-list-all-programs count --system=STLLC --depth=24,3.01213212358,0.01667081983814527,3.0058342695799998,2.9829413399999996,0.01617788,2.99601143558,3.04522626958,24,738
lets-list-all-programs count --system=STLLC --depth=25,6.89110140688,0.03780750165594352,6.892977957079999,6.843703240000001,0.03240207999999999,6.81840026958,6.95137822758,25,738
lets-list-all-programs count --system=STLLC --depth=26,15.85558560278,0.037055341008452564,15.854093915580002,15.770936239999997,0.07048828000000001,15.776168310580001,15.901437769580001,26,1708
lets-list-all-programs count --system=STLLC --depth=27,41.25053660678,0.16061748026685155,41.255571873579996,41.01700634,0.17790118,40.90802260258,41.49291981158,27,1708
lets-list-all-programs count --system=STLLC --depth=28,103.34571305688,0.3751249981119978,103.37376754057999,102.66866694000001,0.4346547800000001,102.77283410257999,104.07462747758,28,3969
lets-list-all-programs count --system=STLLC --depth=29,326.08162455658,79.48283285629327,303.11726160258,300.03885804000004,3.14795938,253.47776681058002,440.51396218658,29,3969
lets-list-all-programs count --system=STLLC --depth=30,636.85240385238,3.7674704390292564,635.8965906440801,633.2343091399999,2.64763718,631.43624456058,646.23064476858,30,9790
