command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLLC --depth=1,0.01585055847,0.0007990129302704005,0.016107229620000003,0.0024118300000000002,0.00219485,0.013744124620000003,0.016673541620000003,1,0
lets-list-all-programs count --system=STLLC --depth=2,0.016792208370000002,0.0007025630016067764,0.01669437512,0.00268193,0.0025405499999999995,0.014560291620000002,0.01807904162,2,1
lets-list-all-programs count --system=STLLC --depth=3,0.01651953332,0.0007004685065701687,0.01673524962,0.00267508,0.0025064999999999996,0.01437116662,0.017393750620000002,3,1
lets-list-all-programs count --system=STLLC --depth=4,0.016595552120000003,0.00048336178161927323,0.01667506262,0.0026767799999999997,0.0024955,0.01485145862,0.01699520862,4,1
lets-list-all-programs count --system=STLLC --depth=5,0.016496033220000005,0.0005899582199280502,0.01670954162,0.0027053800000000003,0.0024113,0.01502670762,0.01692766662,5,1
lets-list-all-programs count --system=STLLC --depth=6,0.01627148942,0.000889742435944104,0.016350166120000002,0.0025902799999999995,0.0024247,0.014649791620000002,0.01765212462,6,2
lets-list-all-programs count --system=STLLC --depth=7,0.01646929372,0.0006426629674579704,0.01670702062,0.00274473,0.0024689999999999994,0.01466616662,0.01698745862,7,2
lets-list-all-programs count --system=STLLC --depth=8,0.016560708370000003,0.0004338122798102853,0.01670306262,0.00275698,0.0024443,0.015170250620000002,0.01683766662,8,3
lets-list-all-programs count --system=STLLC --depth=9,0.016689816570000002,0.0004718064022116966,0.01679691662,0.0028163800000000003,0.00243565,0.01469979162,0.016907083620000003,9,3
lets-list-all-programs count --system=STLLC --depth=10,0.016910372969999997,0.0006081494009796636,0.01691312512,0.00290333,0.0025999999999999994,0.015102708620000002,0.017782916620000002,10,5
lets-list-all-programs count --system=STLLC --depth=11,0.01677701232,0.0003738677482047561,0.01684304162,0.0029463299999999996,0.0024591999999999995,0.01527174962,0.01713191662,11,5
lets-list-all-programs count --system=STLLC --depth=12,0.01651404372,0.0006612481066129021,0.016832104120000003,0.00290218,0.00239915,0.01471945862,0.017116000620000002,12,9
lets-list-all-programs count --system=STLLC --depth=13,0.01665422282,0.00019098490126835755,0.01669447912,0.003166830000000001,0.0023800500000000003,0.01588937462,0.01684504162,13,9
lets-list-all-programs count --system=STLLC --depth=14,0.016692541620000004,0.0007474297724986401,0.016672666620000002,0.00358328,0.00253815,0.01415812462,0.017685249620000003,14,16
lets-list-all-programs count --system=STLLC --depth=15,0.016139491620000005,0.0006808557676972643,0.016395353620000004,0.0037787299999999997,0.0023110999999999995,0.014209541620000002,0.01672420862,15,16
lets-list-all-programs count --system=STLLC --depth=16,0.016014156170000005,0.0005243293343971069,0.01614752062,0.0047180799999999995,0.0021958999999999993,0.014408166620000003,0.01639324962,16,34
lets-list-all-programs count --system=STLLC --depth=17,0.01564849367,0.0006981187738115595,0.01571506262,0.006469180000000001,0.00205205,0.01333195862,0.01694995862,17,34
lets-list-all-programs count --system=STLLC --depth=18,0.015809052070000003,0.0005309860798028191,0.01573877112,0.011097930000000002,0.00212545,0.01416874962,0.01675087562,18,65
lets-list-all-programs count --system=STLLC --depth=19,0.028732387419999998,0.0010537624867200288,0.028639479120000002,0.017452379999999997,0.0025526999999999998,0.027008541620000003,0.031437166620000005,19,65
lets-list-all-programs count --system=STLLC --depth=20,0.042916397870000005,0.008980022130528575,0.04027587462000001,0.03266658000000001,0.0025779,0.038503500620000006,0.07412245862000001,20,151
lets-list-all-programs count --system=STLLC --depth=21,0.08645759167000001,0.020411642218657152,0.07922845812000001,0.06939553000000001,0.0032372499999999997,0.06533895762000001,0.16091162462,21,151
lets-list-all-programs count --system=STLLC --depth=22,0.14146325402,0.00439898845672662,0.13985287462,0.13350203,0.00265705,0.13518187462,0.15135916662,22,315
lets-list-all-programs count --system=STLLC --depth=23,0.24760739016545455,0.005135460381521139,0.25087737462,0.23765950727272725,0.002913045454545454,0.23873929162000002,0.25211420862,23,315
lets-list-all-programs count --system=STLLC --depth=24,0.4995778125200001,0.01117936726944011,0.49699045812,0.4831411799999999,0.0039808,0.48733475062000003,0.52844945862,24,738
lets-list-all-programs count --system=STLLC --depth=25,1.05015190002,0.015936624056582478,1.04613781262,1.03017498,0.0060509,1.02372012462,1.0837157086200002,25,738
lets-list-all-programs count --system=STLLC --depth=26,2.3667147917200007,0.01026862934785279,2.36534033312,2.35191378,0.0064860000000000004,2.35424012562,2.38641054162,26,1708
lets-list-all-programs count --system=STLLC --depth=27,4.36464484992,0.06936098314477707,4.34840731262,4.31864708,0.0212557,4.31322029162,4.54485899962,27,1708
lets-list-all-programs count --system=STLLC --depth=28,8.99237612082,0.053063498431527974,8.98798035412,8.91402048,0.027133599999999997,8.903350916619999,9.07627399962,28,3969
lets-list-all-programs count --system=STLLC --depth=29,19.282836645720003,0.13752658292724268,19.27419456262,19.17697558,0.04481289999999999,19.12912899962,19.539480666619998,29,3969
lets-list-all-programs count --system=STLLC --depth=30,46.43075875842,0.24700092970114,46.46238006262,46.20719498,0.10204609999999999,45.84491608362,46.71662487462,30,9790
