command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1,0.01666040398,0.0005110371867351511,0.01673404168,0.0024454199999999994,0.00240608,0.01572647918,0.01733539518,1,0
lets-list-all-programs count --system=STRLC --depth=2,0.017345012580000003,0.00025941132566049057,0.017365520680000003,0.0027566199999999996,0.00268308,0.016931396180000002,0.01773156218,2,1
lets-list-all-programs count --system=STRLC --depth=3,0.01731551248,0.00011377910046816354,0.01731129118,0.00277892,0.0026673799999999996,0.01715031318,0.01752989618,3,1
lets-list-all-programs count --system=STRLC --depth=4,0.01707869168,0.0006978049417998397,0.017326604180000003,0.0027913199999999995,0.0026761799999999994,0.015157395180000002,0.017490937180000003,4,1
lets-list-all-programs count --system=STRLC --depth=5,0.01733990018,0.00010267064961646379,0.01731810468,0.0028103199999999994,0.00267768,0.01723864618,0.01756739518,5,1
lets-list-all-programs count --system=STRLC --depth=6,0.01736456668,0.00010305661723457288,0.01734335418,0.002836319999999999,0.00269468,0.017240021180000002,0.01753410418,6,2
lets-list-all-programs count --system=STRLC --depth=7,0.01738518328,0.00016835903994304662,0.01736381268,0.0028362199999999995,0.0027319799999999997,0.017140062180000002,0.01766722918,7,2
lets-list-all-programs count --system=STRLC --depth=8,0.01723291678,0.00006246686009788684,0.017215396180000002,0.0027703199999999997,0.0026352799999999994,0.01715239618,0.017340020180000002,8,3
lets-list-all-programs count --system=STRLC --depth=9,0.017133533480000004,0.00021672338199344712,0.01714727068,0.0027798199999999997,0.00261768,0.01661464618,0.01734760418,9,3
lets-list-all-programs count --system=STRLC --depth=10,0.017301516580000002,0.00009468565563331717,0.017284104180000003,0.002857719999999999,0.0026816799999999997,0.01715981218,0.017428312180000002,10,5
lets-list-all-programs count --system=STRLC --depth=11,0.01727822918,0.00015232879153842033,0.017255666680000004,0.0029249199999999997,0.0026758799999999994,0.01708018718,0.017575354180000002,11,5
lets-list-all-programs count --system=STRLC --depth=12,0.017307579080000003,0.00012309790118208058,0.017296416680000003,0.0030534199999999994,0.0026977800000000003,0.01716006218,0.01746964518,12,9
lets-list-all-programs count --system=STRLC --depth=13,0.017214433280000004,0.00012987629771136564,0.01722908268,0.003262719999999999,0.0026566799999999994,0.01700064518,0.01738697918,13,9
lets-list-all-programs count --system=STRLC --depth=14,0.01708537068,0.0002224777614011247,0.01710522918,0.0037705199999999994,0.0025693799999999996,0.01677822918,0.01738114518,14,16
lets-list-all-programs count --system=STRLC --depth=15,0.016666375080000004,0.0002628959196916989,0.01664720818,0.00484452,0.00241728,0.016164771180000002,0.017025312180000002,15,18
lets-list-all-programs count --system=STRLC --depth=16,0.01650899578,0.0003320848453744575,0.01647758318,0.007618019999999999,0.00226718,0.01607252118,0.01702422918,16,36
lets-list-all-programs count --system=STRLC --depth=17,0.028354799880000003,0.0006220506228781728,0.028511853680000004,0.01526632,0.00202028,0.02659985418,0.02867547918,17,36
lets-list-all-programs count --system=STRLC --depth=18,0.04152872498,0.000323768214327197,0.041613687180000004,0.03717631999999999,0.0021851800000000005,0.04066981218000001,0.04179222918000001,18,69
lets-list-all-programs count --system=STRLC --depth=19,0.10353439587999999,0.0005122642663331,0.10380312518000001,0.09672062,0.0021829799999999997,0.10256160418,0.10398935418000001,19,87
lets-list-all-programs count --system=STRLC --depth=20,0.26614906668,0.0006313239350524154,0.26652008368,0.25680072,0.00240948,0.26521747918,0.26660464618,20,173
lets-list-all-programs count --system=STRLC --depth=21,0.73021184168,0.003583237348049637,0.72941141718,0.72190562,0.00300018,0.72790252018,0.74025264518,21,195
lets-list-all-programs count --system=STRLC --depth=22,2.12653001658,0.007515412750797209,2.1292024166799997,2.11540202,0.00470998,2.1176006041799997,2.14055947918,22,385
lets-list-all-programs count --system=STRLC --depth=23,6.221145320880001,0.00833027278553138,6.21911814618,6.20774462,0.00916508,6.20470231318,6.231803187180001,23,505
lets-list-all-programs count --system=STRLC --depth=24,18.352294970880003,0.039083912444807176,18.35417070818,18.322786020000002,0.023178779999999996,18.285553437180003,18.410912354180002,24,970
lets-list-all-programs count --system=STRLC --depth=25,56.62567322478001,0.1384314112132468,56.586397437180004,56.56246252,0.06735997999999999,56.44650710418,56.84805506218,25,1299
lets-list-all-programs count --system=STRLC --depth=26,177.72648477488002,0.16554952175822624,177.75721722918,177.50176891999996,0.21454308000000002,177.39682939518,177.93307439518,26,2492
lets-list-all-programs count --system=STRLC --depth=27,558.93452407498,0.620174238823556,558.73363729168,558.2764721199999,0.66408918,558.22015106218,559.99271089618,27,3408
lets-list-all-programs count --system=STRLC --depth=28,1785.4624500334799,2.7111557392879435,1785.98322052118,1783.6138915200002,1.96140068,1780.8819583121801,1788.50978502018,28,6518
