command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1,0.0224561707,0.0012381383108842664,0.0219651745,0.00419546,0.0040763,0.021185216,0.025193508,1,0
lets-list-all-programs count --system=STRLC --depth=2,0.0204720085,0.0002777701450509238,0.0204587585,0.00320126,0.0031086,0.020092883,0.0209698,2,1
lets-list-all-programs count --system=STRLC --depth=3,0.0209200124,0.0004733276505612386,0.0210357375,0.003536159999999999,0.0032931999999999996,0.0195863,0.021178466,3,1
lets-list-all-programs count --system=STRLC --depth=4,0.0207758041,0.0018205501810973058,0.021046175,0.00333186,0.0034417999999999996,0.01597455,0.022582925,4,1
lets-list-all-programs count --system=STRLC --depth=5,0.0207767167,0.0009630536830800304,0.021068654,0.0036326600000000002,0.003338,0.018040425,0.021156134,5,1
lets-list-all-programs count --system=STRLC --depth=6,0.020300554199999998,0.0010787649177776103,0.0206894875,0.0034908599999999997,0.0032144,0.017497383,0.021065175,6,2
lets-list-all-programs count --system=STRLC --depth=7,0.020291258300000004,0.0005864648787623934,0.020501363,0.0033442599999999995,0.0031383999999999987,0.018764217,0.02074755,7,2
lets-list-all-programs count --system=STRLC --depth=8,0.020362949900000003,0.0010045840866225245,0.020672133000000002,0.00343496,0.0031723999999999997,0.017661508,0.021108967,8,3
lets-list-all-programs count --system=STRLC --depth=9,0.021224787699999997,0.0003729958459914798,0.021050071,0.0036916599999999994,0.0034248,0.020677259,0.021787134,9,3
lets-list-all-programs count --system=STRLC --depth=10,0.021023766699999998,0.0007364820993899234,0.020821008000000002,0.0035019599999999997,0.0033873,0.020303759,0.022303216,10,5
lets-list-all-programs count --system=STRLC --depth=11,0.020470670899999998,0.0002693366416733484,0.020489612499999997,0.0034396599999999998,0.0031217999999999997,0.0197868,0.020706257999999998,11,5
lets-list-all-programs count --system=STRLC --depth=12,0.020033579,0.0005630606275516776,0.020018466,0.0033058599999999994,0.0029906999999999998,0.0190203,0.020786175,12,9
lets-list-all-programs count --system=STRLC --depth=13,0.020227841899999998,0.00019581321449872093,0.0201620505,0.0034957599999999997,0.0030082,0.019951467,0.0205188,13,9
lets-list-all-programs count --system=STRLC --depth=14,0.0200721209,0.00032224865544774314,0.020057154,0.00376906,0.0029622,0.019441299999999998,0.02057805,14,16
lets-list-all-programs count --system=STRLC --depth=15,0.019632,0.0015686402697937683,0.0197425085,0.00381506,0.0029757,0.01549405,0.021156092,15,18
lets-list-all-programs count --system=STRLC --depth=16,0.0189331082,0.0008139011526126367,0.0188908,0.00402256,0.0026413999999999995,0.017201967,0.020208716,16,36
lets-list-all-programs count --system=STRLC --depth=17,0.0186544041,0.00010434145586215177,0.018681549999999998,0.00540806,0.0024005,0.018504508,0.018781842,17,36
lets-list-all-programs count --system=STRLC --depth=18,0.018829895899999997,0.00011473625287729334,0.018804758499999998,0.008372359999999999,0.0024602,0.0186653,0.0190533,18,69
lets-list-all-programs count --system=STRLC --depth=19,0.018563028999999998,0.0001375082482237171,0.018537987,0.012894659999999999,0.0022115000000000004,0.0183303,0.018807175,19,87
lets-list-all-programs count --system=STRLC --depth=20,0.0333301706,0.0008845428325869434,0.033607362,0.02323426,0.0022195,0.030816508,0.03371905,20,173
lets-list-all-programs count --system=STRLC --depth=21,0.052112925100000006,0.006627107898544723,0.049040966500000005,0.044738959999999994,0.0024083999999999998,0.048573217,0.064730967,21,195
lets-list-all-programs count --system=STRLC --depth=22,0.09364276670000002,0.0012019266160206714,0.09373394600000001,0.08382035999999998,0.0023921999999999997,0.090446175,0.09503475800000001,22,385
lets-list-all-programs count --system=STRLC --depth=23,0.1686248207,0.0010393576240973778,0.168845154,0.15379735999999997,0.002579599999999999,0.165748633,0.16952550800000002,23,505
lets-list-all-programs count --system=STRLC --depth=24,0.31893393760000005,0.0006999217647845733,0.31901215450000003,0.30627066,0.0027024999999999996,0.31744621600000006,0.319663175,24,970
lets-list-all-programs count --system=STRLC --depth=25,0.6208447999000002,0.006654439849887791,0.619468425,0.60782706,0.0029407999999999995,0.6133660500000001,0.6334951750000001,25,1299
lets-list-all-programs count --system=STRLC --depth=26,1.2103962956999998,0.005363049941420979,1.2125650704999997,1.19808796,0.0033615,1.203193217,1.2175772999999999,26,2492
lets-list-all-programs count --system=STRLC --depth=27,2.3512451919000004,0.008479099227528698,2.3500327795000002,2.33728996,0.0042782,2.3393543830000003,2.367591259,27,3408
lets-list-all-programs count --system=STRLC --depth=28,4.6949280167000005,0.023005208111128293,4.6915950915,4.679711759999999,0.005962299999999999,4.653314175,4.736934258,28,6518
lets-list-all-programs count --system=STRLC --depth=29,9.3193951124,0.023127404443838713,9.321117383,9.299887559999998,0.009353199999999999,9.283572383000001,9.358717425,29,9786
lets-list-all-programs count --system=STRLC --depth=30,18.836696241800002,0.40573806601725415,18.661138883,18.80882856,0.0179916,18.494726009,19.763690342,30,17850
