command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1,0.01588988284,0.0009500982913703893,0.01609419144,0.00223386,0.0025401999999999994,0.01409431644,0.01745869044,1,0
lets-list-all-programs count --system=STRLC --depth=2,0.01618871174,0.00003789126178964105,0.01618223294,0.00230976,0.0026309,0.016128857439999998,0.01626614944,2,1
lets-list-all-programs count --system=STRLC --depth=3,0.01618835764,0.00002870414539864684,0.01618935744,0.00232146,0.0026076999999999997,0.01614714944,0.01623110744,3,1
lets-list-all-programs count --system=STRLC --depth=4,0.016170932239999998,0.00008165060970011179,0.01616933594,0.00229426,0.0026553,0.01606873244,0.01631306544,4,1
lets-list-all-programs count --system=STRLC --depth=5,0.01615849074,0.00009733717341288992,0.016168024439999998,0.0022639599999999998,0.0025988999999999995,0.01590764944,0.01625964844,5,1
lets-list-all-programs count --system=STRLC --depth=6,0.01616704084,0.00006387142829709566,0.01617787844,0.0023127599999999996,0.0027741,0.01602177344,0.01626473244,6,2
lets-list-all-programs count --system=STRLC --depth=7,0.01664802404,0.0007025926239958532,0.01628596194,0.00255686,0.0030732999999999997,0.01605285744,0.01816539844,7,2
lets-list-all-programs count --system=STRLC --depth=8,0.01618513264,0.00014797461021014477,0.01618108694,0.0022821599999999997,0.0027462,0.01588081544,0.01647002344,8,3
lets-list-all-programs count --system=STRLC --depth=9,0.01618469924,0.000056659305711712985,0.01618021144,0.0022648599999999996,0.0026022999999999997,0.01611777344,0.01628531544,9,3
lets-list-all-programs count --system=STRLC --depth=10,0.016188511639999997,0.00004940273979761763,0.01618673194,0.00248226,0.0026562,0.01609535744,0.01628139944,10,5
lets-list-all-programs count --system=STRLC --depth=11,0.01618094074,0.00006973387211240226,0.01618523244,0.0024702599999999993,0.0026381999999999994,0.01605369044,0.01632123244,11,5
lets-list-all-programs count --system=STRLC --depth=12,0.01618922014,0.00008311097857423352,0.01619571194,0.0024337599999999992,0.0025405999999999996,0.01599810744,0.01631614944,12,9
lets-list-all-programs count --system=STRLC --depth=13,0.016165582640000002,0.00010165812176637241,0.016188461940000003,0.0026197599999999996,0.0025547999999999994,0.01593552444,0.01630185744,13,9
lets-list-all-programs count --system=STRLC --depth=14,0.01643181584,0.0005860032732339754,0.016258420439999997,0.00330576,0.0030940000000000004,0.01573731544,0.01784464944,14,16
lets-list-all-programs count --system=STRLC --depth=15,0.01591781594,0.0012810680095947072,0.016184899439999997,0.0035786599999999996,0.0025517999999999995,0.013633024439999999,0.01789310744,15,18
lets-list-all-programs count --system=STRLC --depth=16,0.015120378339999999,0.001315442206237757,0.016086857439999998,0.004555059999999999,0.0024145,0.01351123244,0.01621514944,16,36
lets-list-all-programs count --system=STRLC --depth=17,0.015640624239999998,0.0011359324507926216,0.01617675344,0.007121859999999999,0.0024008,0.013472524440000001,0.01631660744,17,36
lets-list-all-programs count --system=STRLC --depth=18,0.025796953239999997,0.0033626456604737686,0.02685323244,0.011768959999999998,0.0024162999999999997,0.01622698244,0.026911482440000002,18,69
lets-list-all-programs count --system=STRLC --depth=19,0.027121307240000003,0.00061308102695879,0.026857628440000003,0.01943756,0.002520399999999999,0.026808023440000002,0.02870319044,19,87
lets-list-all-programs count --system=STRLC --depth=20,0.05225609064000001,0.003996230125483566,0.05346262844000001,0.03824786,0.0025448999999999997,0.040993773440000006,0.05452785744000001,20,173
lets-list-all-programs count --system=STRLC --depth=21,0.09088491144000001,0.00015778538931937315,0.09084739894,0.07665955999999999,0.0026721999999999996,0.09061752344000001,0.09119010744,21,195
lets-list-all-programs count --system=STRLC --depth=22,0.15797808253999998,0.005433022465438498,0.15728194144000002,0.14839536,0.0032915999999999996,0.15214614944,0.16479985744,22,385
lets-list-all-programs count --system=STRLC --depth=23,0.30791326154000004,0.0047150688619366395,0.30719121144000006,0.29545776,0.0038655999999999994,0.30205102444000004,0.31434802444000004,23,505
lets-list-all-programs count --system=STRLC --depth=24,0.64869319904,0.011746052166861875,0.64379491994,0.6332603599999999,0.005298099999999999,0.64222519044,0.6804239404400001,24,970
lets-list-all-programs count --system=STRLC --depth=25,1.3258161659399998,0.006491494327031087,1.32504798294,1.30909566,0.0083614,1.31540835744,1.33786319044,25,1299
lets-list-all-programs count --system=STRLC --depth=26,2.7182967615400004,0.013640225729038589,2.72043025294,2.6948628599999997,0.014271799999999998,2.69168039944,2.74152689944,26,2492
lets-list-all-programs count --system=STRLC --depth=27,5.82584586154,0.052329979732982694,5.82253462844,5.77627326,0.0267955,5.74511664944,5.951174523440001,27,3408
lets-list-all-programs count --system=STRLC --depth=28,12.575382044840001,0.05674483524403729,12.58333429494,12.50612066,0.056466499999999996,12.44384864844,12.66303977444,28,6518
lets-list-all-programs count --system=STRLC --depth=29,26.702408461639997,0.09388834959254218,26.729953169939996,26.55091726,0.11535949999999999,26.481907482439997,26.804364023439998,29,9786
lets-list-all-programs count --system=STRLC --depth=30,58.122999582340015,0.27608217146471686,58.15170158594,57.80535375999999,0.24919229999999998,57.514585482440005,58.58948477344,30,17850
