command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1,0.01724336657,0.0007219258793761293,0.017103033020000005,0.00284462,0.0026001799999999997,0.016447116520000003,0.019001658520000003,1,0
lets-list-all-programs count --system=STRLC --depth=2,0.016896293620000002,0.0006464815298682802,0.016800762020000002,0.0026568699999999995,0.0025412299999999994,0.01500036652,0.018268199520000004,2,1
lets-list-all-programs count --system=STRLC --depth=3,0.016850220720000007,0.0006695310707270472,0.016877179020000004,0.0026523700000000002,0.002521979999999999,0.01470294952,0.017956949520000005,3,1
lets-list-all-programs count --system=STRLC --depth=4,0.01661617072,0.0005654854052801014,0.016676804020000005,0.00254522,0.0023809800000000004,0.01558107452,0.017421283520000004,4,1
lets-list-all-programs count --system=STRLC --depth=5,0.016580791670000004,0.0006442457676023207,0.016814033020000004,0.00274247,0.00241438,0.014709491520000001,0.017170700520000002,5,1
lets-list-all-programs count --system=STRLC --depth=6,0.01684747072,0.0006714179906862949,0.016779304020000003,0.0027075700000000003,0.002504680000000001,0.015046741520000002,0.018332866520000005,6,2
lets-list-all-programs count --system=STRLC --depth=7,0.016594629070000002,0.0007604857067074054,0.016704512520000003,0.00266402,0.0024650799999999997,0.01443903352,0.017863074520000004,7,2
lets-list-all-programs count --system=STRLC --depth=8,0.016767001870000003,0.0001352475181666543,0.016776554520000004,0.00267502,0.0023977799999999995,0.016474616520000002,0.017018824520000003,8,3
lets-list-all-programs count --system=STRLC --depth=9,0.016362666620000004,0.0008104224599187963,0.016708699520000002,0.00271157,0.0024113799999999994,0.014394991520000002,0.016863241520000002,9,3
lets-list-all-programs count --system=STRLC --depth=10,0.016671606120000005,0.0006086659446414372,0.016695075020000005,0.0027293700000000005,0.0024581299999999993,0.015142699520000002,0.01796432452,10,5
lets-list-all-programs count --system=STRLC --depth=11,0.016439091519999997,0.0006407981880195657,0.016419346020000003,0.0025915699999999996,0.0023769299999999998,0.015012908520000002,0.017946866520000004,11,5
lets-list-all-programs count --system=STRLC --depth=12,0.01679898117,0.00012462528572834296,0.016831283520000004,0.0028677700000000004,0.0024255300000000004,0.016425199520000003,0.017019991520000003,12,9
lets-list-all-programs count --system=STRLC --depth=13,0.01655789372,0.0004485700015959021,0.016674679020000003,0.00295907,0.00240028,0.015208824520000002,0.016987325520000002,13,9
lets-list-all-programs count --system=STRLC --depth=14,0.016740147820000006,0.000528377043268008,0.016555721020000004,0.0031957200000000004,0.0024742799999999997,0.015584908520000001,0.017824199520000004,14,16
lets-list-all-programs count --system=STRLC --depth=15,0.016367199720000003,0.0006757898291318566,0.016428491520000005,0.0034641200000000002,0.00235768,0.01481782452,0.01787899152,15,18
lets-list-all-programs count --system=STRLC --depth=16,0.01618292072,0.000467453927541821,0.016287804520000004,0.00412907,0.00226073,0.014948741520000001,0.016640158520000004,16,36
lets-list-all-programs count --system=STRLC --depth=17,0.015643712370000003,0.0006795245548390345,0.015920762020000003,0.005384470000000001,0.0021279799999999994,0.013956700520000002,0.016209533520000003,17,36
lets-list-all-programs count --system=STRLC --depth=18,0.015595551820000003,0.0004140840052365556,0.015482449520000002,0.00775022,0.0018495799999999995,0.014915533520000001,0.016916491520000004,18,69
lets-list-all-programs count --system=STRLC --depth=19,0.016873981020000005,0.0037581989483725553,0.015534908020000002,0.012412969999999999,0.0019274799999999994,0.01545490752,0.028969533520000004,19,87
lets-list-all-programs count --system=STRLC --depth=20,0.02798393327,0.00026802619218020164,0.028047012520000004,0.02208807,0.0018274299999999997,0.026903449520000004,0.028235491520000003,20,173
lets-list-all-programs count --system=STRLC --depth=21,0.05279991862000001,0.0009567231431853829,0.053155512020000004,0.043329719999999995,0.0020494299999999992,0.05105719952,0.054448408520000005,21,195
lets-list-all-programs count --system=STRLC --depth=22,0.09101578727000001,0.002281684417771841,0.09076709552000001,0.08195686999999999,0.0021141799999999994,0.08816540852000002,0.10000849152,22,385
lets-list-all-programs count --system=STRLC --depth=23,0.16370711413111114,0.004279070027424887,0.16524640802,0.15203989777777777,0.0023452355555555553,0.15193815852,0.16695757452,23,505
lets-list-all-programs count --system=STRLC --depth=24,0.31550450832,0.0038898148512404055,0.31502290802,0.30647182,0.0025168799999999996,0.31009144952,0.32480278352,24,970
lets-list-all-programs count --system=STRLC --depth=25,0.62354712042,0.017889153322878035,0.6200419285200001,0.6094975199999999,0.0031932799999999997,0.6104054075199999,0.67237882452,25,1299
lets-list-all-programs count --system=STRLC --depth=26,1.2178035707199997,0.005036980443871068,1.21907928352,1.20461242,0.003639780000000001,1.20928469952,1.22470749152,26,2492
lets-list-all-programs count --system=STRLC --depth=27,2.34939304982,0.006141787139284918,2.3487653040199996,2.3388315200000003,0.004934079999999999,2.33987174152,2.36171457552,27,3408
lets-list-all-programs count --system=STRLC --depth=28,4.71303034142,0.019897380244433098,4.711250762020001,4.69669242,0.00809768,4.68286836652,4.74380044952,28,6518
lets-list-all-programs count --system=STRLC --depth=29,9.346170970520001,0.041314701711353215,9.325029304020001,9.31815842,0.015601479999999997,9.31252219952,9.43536686652,29,9786
lets-list-all-programs count --system=STRLC --depth=30,18.721756195719998,0.07343036037672913,18.73312426252,18.66805272,0.03059248,18.60642957552,18.81998999152,30,17850
