command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count -s Fw -d 1,0.01676062136,0.0003231551725755386,0.01682464016,0.00250837,0.002555889999999999,0.015996889660000003,0.01716164066,1,0
lets-list-all-programs count -s Fw -d 2,0.016780577459999998,0.0006108028949437312,0.01695205616,0.002649969999999999,0.0027188399999999993,0.01489963966,0.017233556660000003,2,1
lets-list-all-programs count -s Fw -d 3,0.016950327460000005,0.00010104368906702513,0.01693330666,0.0026344199999999997,0.00270809,0.01683151566,0.01725530666,3,1
lets-list-all-programs count -s Fw -d 4,0.016987312910000003,0.00011912121001818836,0.016947285660000002,0.0026689699999999997,0.002717139999999999,0.016841431660000003,0.017286472660000003,4,1
lets-list-all-programs count -s Fw -d 5,0.016925233660000004,0.00006862558743684899,0.016921744160000002,0.00264047,0.0026755399999999997,0.016805014660000003,0.01705726466,5,1
lets-list-all-programs count -s Fw -d 6,0.016940887760000002,0.00005867632577283614,0.016936764660000003,0.0027002199999999997,0.0027030399999999994,0.016844306660000002,0.017063681660000003,6,3
lets-list-all-programs count -s Fw -d 7,0.016966423210000005,0.0002857064465657151,0.01697495216,0.00274212,0.00278254,0.015960222660000002,0.017358431660000003,7,4
lets-list-all-programs count -s Fw -d 8,0.016491848360000002,0.0008194623931800854,0.016787077660000004,0.002714819999999999,0.0026782899999999994,0.01464314066,0.01710589066,8,5
lets-list-all-programs count -s Fw -d 9,0.016801021210000003,0.00027574581870236847,0.016857119160000003,0.0027790699999999994,0.0027222899999999996,0.015742472660000003,0.017039723660000002,9,14
lets-list-all-programs count -s Fw -d 10,0.016752819160000005,0.0005507841173750196,0.016877868660000003,0.0030072699999999994,0.00269864,0.014575806660000001,0.017134973660000004,10,29
lets-list-all-programs count -s Fw -d 11,0.016761806810000005,0.00005247450095174066,0.016772744160000002,0.003181269999999999,0.0026221900000000004,0.016675056660000003,0.01684239066,11,53
lets-list-all-programs count -s Fw -d 12,0.01665864841,0.0000553510916346254,0.016660160660000003,0.00374957,0.00260699,0.016573931660000003,0.01679222366,12,85
lets-list-all-programs count -s Fw -d 13,0.016272150410000002,0.0000905100923781577,0.016264556660000002,0.00499087,0.0024334399999999994,0.016124723660000003,0.016451639660000003,13,269
lets-list-all-programs count -s Fw -d 14,0.015619039960000003,0.0005855732735576851,0.015841785660000003,0.007852719999999999,0.0020499399999999997,0.014077056660000002,0.016044347660000003,14,505
lets-list-all-programs count -s Fw -d 15,0.028483398460000003,0.00022277241258562768,0.028515265160000004,0.017308570000000002,0.00211139,0.027582223660000002,0.028643347660000002,15,1437
lets-list-all-programs count -s Fw -d 16,0.05385495676,0.0000795118578405296,0.053837827660000004,0.03917766999999999,0.00226454,0.05367589066,0.054029889660000004,16,2462
lets-list-all-programs count -s Fw -d 17,0.11639672321000001,0.00009649283045440558,0.11636047316,0.10466837,0.00231909,0.11624688966,0.11660601466,17,9813
lets-list-all-programs count -s Fw -d 18,0.2916830357600001,0.00010789477584763445,0.29166670216,0.28076442,0.0025602399999999992,0.29152784866000003,0.29184438966000004,18,17575
lets-list-all-programs count -s Fw -d 19,0.8799577774599999,0.006959930919870488,0.87914039016,0.8677711199999999,0.0037941399999999992,0.86693401466,0.89226063966,19,76165
lets-list-all-programs count -s Fw -d 20,2.5296251943600003,0.005950027927867641,2.5294618276600005,2.51524542,0.0058061399999999996,2.5176780986600003,2.54266972366,20,132548
lets-list-all-programs count -s Fw -d 21,8.361912077560001,0.013908415365447839,8.36206580716,8.34238262,0.014325840000000001,8.342822806660001,8.382231473660001,21,709925
lets-list-all-programs count -s Fw -d 22,25.710873514859998,0.036938842985459165,25.71582109866,25.668221619999997,0.03920394,25.66108372266,25.76320068166,22,1253150
lets-list-all-programs count -s Fw -d 23,92.39356236506,0.13718520017174962,92.37151759816,92.26875742,0.13497524,92.23524114066,92.69331838966,23,7482722
lets-list-all-programs count -s Fw -d 24,301.95833157746,0.21298718982279788,301.85002413966,301.56953142,0.43658453999999997,301.76580318166,302.32685172365996,24,13206314
lets-list-all-programs count -s Fw -d 25,1164.9375065939598,1.355701586424051,1164.35383118166,1163.3819736200003,1.7692273399999998,1163.8216200146599,1167.63840680666,25,88511636
lets-list-all-programs count -s Fw -d 26,4073.96487289806,0,4073.96487289806,4049.43378614,15.64274414,4073.96487289806,4073.96487289806,26,157714690
