command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=Fw --depth=1 +RTS -N,0.015736098700000003,0,0.015736098700000003,0.0022921,0.0043882800000000005,0.015736098700000003,0.015736098700000003,1,0
lets-list-all-programs count --system=Fw --depth=2 +RTS -N,0.013696931700000001,0,0.013696931700000001,0.0023261,0.00453428,0.013696931700000001,0.013696931700000001,2,1
lets-list-all-programs count --system=Fw --depth=3 +RTS -N,0.016387306700000003,0,0.016387306700000003,0.0023990999999999995,0.00434728,0.016387306700000003,0.016387306700000003,3,1
lets-list-all-programs count --system=Fw --depth=4 +RTS -N,0.0137079737,0,0.0137079737,0.0023831,0.0042442800000000004,0.0137079737,0.0137079737,4,1
lets-list-all-programs count --system=Fw --depth=5 +RTS -N,0.0137894317,0,0.0137894317,0.0024371,0.0044012800000000005,0.0137894317,0.0137894317,5,1
lets-list-all-programs count --system=Fw --depth=6 +RTS -N,0.016308098700000002,0,0.016308098700000002,0.0025481,0.00437728,0.016308098700000002,0.016308098700000002,6,3
lets-list-all-programs count --system=Fw --depth=7 +RTS -N,0.016458931700000002,0,0.016458931700000002,0.0026301,0.0047932800000000005,0.016458931700000002,0.016458931700000002,7,4
lets-list-all-programs count --system=Fw --depth=8 +RTS -N,0.016330389700000003,0,0.016330389700000003,0.0027250999999999994,0.00484028,0.016330389700000003,0.016330389700000003,8,5
lets-list-all-programs count --system=Fw --depth=9 +RTS -N,0.016430139700000002,0,0.016430139700000002,0.0027910999999999995,0.0048062800000000004,0.016430139700000002,0.016430139700000002,9,14
lets-list-all-programs count --system=Fw --depth=10 +RTS -N,0.0163523907,0,0.0163523907,0.0030600999999999996,0.00497128,0.0163523907,0.0163523907,10,29
lets-list-all-programs count --system=Fw --depth=11 +RTS -N,0.0164051397,0,0.0164051397,0.0034471,0.00511028,0.0164051397,0.0164051397,11,56
lets-list-all-programs count --system=Fw --depth=12 +RTS -N,0.0163704317,0,0.0163704317,0.0043081,0.0055912800000000006,0.0163704317,0.0163704317,12,89
lets-list-all-programs count --system=Fw --depth=13 +RTS -N,0.0163934727,0,0.0163934727,0.006501099999999999,0.00600628,0.0163934727,0.0163934727,13,286
lets-list-all-programs count --system=Fw --depth=14 +RTS -N,0.016237931700000003,0,0.016237931700000003,0.0103451,0.00589028,0.016237931700000003,0.016237931700000003,14,551
lets-list-all-programs count --system=Fw --depth=15 +RTS -N,0.0270003067,0,0.0270003067,0.0203621,0.00736728,0.0270003067,0.0270003067,15,1622
lets-list-all-programs count --system=Fw --depth=16 +RTS -N,0.0647653897,0,0.0647653897,0.053570099999999995,0.01472028,0.0647653897,0.0647653897,16,2829
lets-list-all-programs count --system=Fw --depth=17 +RTS -N,0.12750234870000002,0,0.12750234870000002,0.1103701,0.020390279999999997,0.12750234870000002,0.12750234870000002,17,11149
lets-list-all-programs count --system=Fw --depth=18 +RTS -N,0.3190540157,0,0.3190540157,0.2977061,0.06114628,0.3190540157,0.3190540157,18,20703
lets-list-all-programs count --system=Fw --depth=19 +RTS -N,0.8130435147,0,0.8130435147,0.7795951,0.11189827999999999,0.8130435147,0.8130435147,19,87686
lets-list-all-programs count --system=Fw --depth=20 +RTS -N,2.2025408067,0,2.2025408067,2.1323090999999996,0.30833528,2.2025408067,2.2025408067,20,157948
lets-list-all-programs count --system=Fw --depth=21 +RTS -N,7.142087098699999,0,7.142087098699999,6.7175370999999995,1.02999128,7.142087098699999,7.142087098699999,21,808324
lets-list-all-programs count --system=Fw --depth=22 +RTS -N,20.6174607237,0,20.6174607237,19.9759121,3.20688628,20.6174607237,20.6174607237,22,1478852
lets-list-all-programs count --system=Fw --depth=23 +RTS -N,66.57986888970001,0,66.57986888970001,64.4680511,10.15170128,66.57986888970001,66.57986888970001,23,8421063
lets-list-all-programs count --system=Fw --depth=24 +RTS -N,209.5851833477,0,209.5851833477,202.8810241,32.06000928,209.5851833477,209.5851833477,24,15331775
lets-list-all-programs count --system=Fw --depth=25 +RTS -N,735.6134829317,0,735.6134829317,712.5889981,111.26457428,735.6134829317,735.6134829317,25,98187482
