command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=1 +RTS -N,0.016260021620000002,0,0.016260021620000002,0.00239478,0.00457894,0.016260021620000002,0.016260021620000002,1,0
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=2 +RTS -N,0.015853021619999998,0,0.015853021619999998,0.00230678,0.00421894,0.015853021619999998,0.015853021619999998,2,1
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=3 +RTS -N,0.01632627162,0,0.01632627162,0.00248978,0.00444594,0.01632627162,0.01632627162,3,1
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=4 +RTS -N,0.01586352162,0,0.01586352162,0.00231578,0.00417494,0.01586352162,0.01586352162,4,1
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=5 +RTS -N,0.01619739662,0,0.01619739662,0.00248678,0.00443894,0.01619739662,0.01619739662,5,1
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=6 +RTS -N,0.01618485462,0,0.01618485462,0.00253178,0.0041049400000000005,0.01618485462,0.01618485462,6,2
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=7 +RTS -N,0.016286229620000002,0,0.016286229620000002,0.00265178,0.00454994,0.016286229620000002,0.016286229620000002,7,2
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=8 +RTS -N,0.01644685562,0,0.01644685562,0.00269078,0.00450694,0.01644685562,0.01644685562,8,3
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=9 +RTS -N,0.016355937620000004,0,0.016355937620000004,0.00285278,0.00429494,0.016355937620000004,0.016355937620000004,9,3
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=10 +RTS -N,0.016419187619999998,0,0.016419187619999998,0.0030907799999999996,0.00419994,0.016419187619999998,0.016419187619999998,10,5
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=11 +RTS -N,0.016394771619999998,0,0.016394771619999998,0.00390978,0.00450694,0.016394771619999998,0.016394771619999998,11,5
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=12 +RTS -N,0.016513605620000003,0,0.016513605620000003,0.00540678,0.00508894,0.016513605620000003,0.016513605620000003,12,9
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=13 +RTS -N,0.016690271620000002,0,0.016690271620000002,0.00880078,0.00572794,0.016690271620000002,0.016690271620000002,13,9
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=14 +RTS -N,0.029361521620000004,0,0.029361521620000004,0.01686178,0.00733894,0.029361521620000004,0.029361521620000004,14,16
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=15 +RTS -N,0.050851354620000004,0,0.050851354620000004,0.036500780000000004,0.00950194,0.050851354620000004,0.050851354620000004,15,16
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=16 +RTS -N,0.10589135562,0,0.10589135562,0.08699278,0.017528939999999996,0.10589135562,0.10589135562,16,34
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=17 +RTS -N,0.24186777162,0,0.24186777162,0.22638477999999998,0.03782994,0.24186777162,0.24186777162,17,35
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=18 +RTS -N,0.6014309386200001,0,0.6014309386200001,0.57632578,0.07707394000000001,0.6014309386200001,0.6014309386200001,18,66
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=19 +RTS -N,1.58849485462,0,1.58849485462,1.5331517799999999,0.20323593999999998,1.58849485462,1.58849485462,19,66
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=20 +RTS -N,4.3202620216200005,0,4.3202620216200005,4.20611178,0.5567409400000001,4.3202620216200005,4.3202620216200005,20,152
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=21 +RTS -N,11.91901718862,0,11.91901718862,11.62283678,1.52339394,11.91901718862,11.91901718862,21,162
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=22 +RTS -N,33.96692714662,0,33.96692714662,33.15423578,4.38740194,33.96692714662,33.96692714662,22,328
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=23 +RTS -N,97.88650477162,0,97.88650477162,95.56884878,12.70136494,97.88650477162,97.88650477162,23,333
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=24 +RTS -N,290.07648727162,0,290.07648727162,283.28820478,37.72199794,290.07648727162,290.07648727162,24,766
lets-list-all-programs count --system=LLFw --parallel-conjunction-strategy=OF --depth=25 +RTS -N,882.63279018862,0,882.63279018862,861.90371678,118.04286393999999,882.63279018862,882.63279018862,25,858
