command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=RLFw --depth=1 +RTS -N,0.0162497552,0,0.0162497552,0.0023999199999999994,0.00479152,0.0162497552,0.0162497552,1,0
lets-list-all-programs count --system=RLFw --depth=2 +RTS -N,0.0159472142,0,0.0159472142,0.0023189199999999995,0.004520519999999999,0.0159472142,0.0159472142,2,1
lets-list-all-programs count --system=RLFw --depth=3 +RTS -N,0.0166873392,0,0.0166873392,0.0025889199999999998,0.00443452,0.0166873392,0.0166873392,3,1
lets-list-all-programs count --system=RLFw --depth=4 +RTS -N,0.0163560482,0,0.0163560482,0.0024199199999999994,0.004598519999999999,0.0163560482,0.0163560482,4,1
lets-list-all-programs count --system=RLFw --depth=5 +RTS -N,0.016680298200000002,0,0.016680298200000002,0.0025489199999999997,0.00485652,0.016680298200000002,0.016680298200000002,5,1
lets-list-all-programs count --system=RLFw --depth=6 +RTS -N,0.0162723812,0,0.0162723812,0.0024589199999999994,0.00457052,0.0162723812,0.0162723812,6,2
lets-list-all-programs count --system=RLFw --depth=7 +RTS -N,0.016341089200000002,0,0.016341089200000002,0.0025759199999999998,0.00461652,0.016341089200000002,0.016341089200000002,7,2
lets-list-all-programs count --system=RLFw --depth=8 +RTS -N,0.016238256200000002,0,0.016238256200000002,0.0026459199999999995,0.00450452,0.016238256200000002,0.016238256200000002,8,3
lets-list-all-programs count --system=RLFw --depth=9 +RTS -N,0.0168822982,0,0.0168822982,0.0029619199999999994,0.00478052,0.0168822982,0.0168822982,9,4
lets-list-all-programs count --system=RLFw --depth=10 +RTS -N,0.0161699642,0,0.0161699642,0.00304792,0.004593519999999999,0.0161699642,0.0161699642,10,6
lets-list-all-programs count --system=RLFw --depth=11 +RTS -N,0.0165920472,0,0.0165920472,0.004088919999999999,0.005428519999999999,0.0165920472,0.0165920472,11,6
lets-list-all-programs count --system=RLFw --depth=12 +RTS -N,0.0165312562,0,0.0165312562,0.005902919999999999,0.005415519999999999,0.0165312562,0.0165312562,12,10
lets-list-all-programs count --system=RLFw --depth=13 +RTS -N,0.0278458392,0,0.0278458392,0.01000492,0.0064565199999999994,0.0278458392,0.0278458392,13,12
lets-list-all-programs count --system=RLFw --depth=14 +RTS -N,0.030163714200000004,0,0.030163714200000004,0.02232792,0.009909519999999998,0.030163714200000004,0.030163714200000004,14,19
lets-list-all-programs count --system=RLFw --depth=15 +RTS -N,0.06379154719999999,0,0.06379154719999999,0.04992492,0.015077519999999997,0.06379154719999999,0.06379154719999999,15,21
lets-list-all-programs count --system=RLFw --depth=16 +RTS -N,0.1594818812,0,0.1594818812,0.13648891999999999,0.025002519999999997,0.1594818812,0.1594818812,16,40
lets-list-all-programs count --system=RLFw --depth=17 +RTS -N,0.34286433920000003,0,0.34286433920000003,0.31705792,0.04708852,0.34286433920000003,0.34286433920000003,17,49
lets-list-all-programs count --system=RLFw --depth=18 +RTS -N,1.0420252972,0,1.0420252972,0.9994789199999999,0.15601652,1.0420252972,1.0420252972,18,81
lets-list-all-programs count --system=RLFw --depth=19 +RTS -N,2.6339054642,0,2.6339054642,2.53193892,0.39452452,2.6339054642,2.6339054642,19,94
lets-list-all-programs count --system=RLFw --depth=20 +RTS -N,9.1376493812,0,9.1376493812,8.82911992,1.36528852,9.1376493812,9.1376493812,20,183
lets-list-all-programs count --system=RLFw --depth=21 +RTS -N,23.0945467142,0,23.0945467142,22.32683292,3.45806352,23.0945467142,23.0945467142,21,218
lets-list-all-programs count --system=RLFw --depth=22 +RTS -N,88.1741275472,0,88.1741275472,85.26350991999999,13.317634519999999,88.1741275472,88.1741275472,22,386
lets-list-all-programs count --system=RLFw --depth=23 +RTS -N,224.4991418392,0,224.4991418392,217.14618592,33.88829852,224.4991418392,224.4991418392,23,462
lets-list-all-programs count --system=RLFw --depth=24 +RTS -N,935.1064397562001,0,935.1064397562001,904.76324992,141.55606952,935.1064397562001,935.1064397562001,24,908
lets-list-all-programs count --system=RLFw --depth=25 +RTS -N,2409.9928043392,0,2409.9928043392,2333.4026239199998,360.63281151999996,2409.9928043392,2409.9928043392,25,1089
