command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLC --depth=1 +RTS -N,0.016456869239999998,0.0002476917729999898,0.01646263164,0.0025346,0.00473876,0.016134611139999998,0.016812028140000004,1,0
lets-list-all-programs count --system=STLC --depth=2 +RTS -N,0.016790990040000002,0.00032062165833006737,0.01680069414,0.0026745,0.0050770599999999996,0.016259111140000004,0.017275236140000004,2,1
lets-list-all-programs count --system=STLC --depth=3 +RTS -N,0.016823452440000004,0.000319920750826427,0.01677338164,0.0026626999999999996,0.005197060000000001,0.016465319140000004,0.017272361140000005,3,1
lets-list-all-programs count --system=STLC --depth=4 +RTS -N,0.016819335539999997,0.00025461469186910575,0.01676481864,0.0026646000000000005,0.00505216,0.016428527140000003,0.01712652814,4,1
lets-list-all-programs count --system=STLC --depth=5 +RTS -N,0.01672928984,0.0003509221067043064,0.016574131640000003,0.0026716000000000005,0.00514476,0.01616590314,0.01730931914,5,1
lets-list-all-programs count --system=STLC --depth=6 +RTS -N,0.01684616894,0.0002959793484904735,0.016861006140000002,0.0027042000000000004,0.0051636600000000005,0.01647352714,0.01724890214,6,3
lets-list-all-programs count --system=STLC --depth=7 +RTS -N,0.01679716924,0.0002617333531845179,0.01682036114,0.0027060999999999995,0.00515406,0.01646856914,0.017197236140000002,7,3
lets-list-all-programs count --system=STLC --depth=8 +RTS -N,0.01678332724,0.0002667902300616009,0.01679498564,0.0026794999999999996,0.00517396,0.016421486140000004,0.01716981914,8,4
lets-list-all-programs count --system=STLC --depth=9 +RTS -N,0.016779427640000004,0.0002961839187018959,0.016714840140000003,0.0027126,0.005145060000000001,0.01643461114,0.01724819414,9,7
lets-list-all-programs count --system=STLC --depth=10 +RTS -N,0.01674616524,0.00032558073960180066,0.01674950714,0.0027353000000000004,0.00509726,0.01619994414,0.01735715214,10,20
lets-list-all-programs count --system=STLC --depth=11 +RTS -N,0.016758743840000003,0.00028083588483194996,0.01670919364,0.002780199999999999,0.00503166,0.01641336114,0.01723240214,11,20
lets-list-all-programs count --system=STLC --depth=12 +RTS -N,0.016640635940000002,0.000530393019028928,0.01672656914,0.0028334,0.00501916,0.015497444140000002,0.01722848614,12,32
lets-list-all-programs count --system=STLC --depth=13 +RTS -N,0.01673325254,0.0003394318000110047,0.01660588164,0.0029717999999999997,0.00530166,0.016194278140000004,0.01721469414,13,69
lets-list-all-programs count --system=STLC --depth=14 +RTS -N,0.016191439840000002,0.0008648267725458155,0.01653323564,0.0031899999999999997,0.00489066,0.01446311014,0.01689081914,14,205
lets-list-all-programs count --system=STLC --depth=15 +RTS -N,0.016595952539999997,0.00016245041111961905,0.01660759014,0.0038322999999999994,0.004906260000000001,0.01636506914,0.016834319139999998,15,229
lets-list-all-programs count --system=STLC --depth=16 +RTS -N,0.01642603574,0.00016725873424209179,0.01642763164,0.004846700000000001,0.005144160000000001,0.01618331914,0.01673152714,16,422
lets-list-all-programs count --system=STLC --depth=17 +RTS -N,0.01611893184,0.000551726663541539,0.01632017364,0.0067593,0.005144360000000001,0.01496640214,0.016602819140000002,17,982
lets-list-all-programs count --system=STLC --depth=18 +RTS -N,0.027535135740000004,0.0007391143435116872,0.027444465140000002,0.0120571,0.0059977599999999996,0.02676694414,0.029049486140000004,18,2890
lets-list-all-programs count --system=STLC --depth=19 +RTS -N,0.029743298240000004,0.0042482001262140676,0.02858898564,0.0202706,0.007251859999999999,0.025387278140000004,0.03774352814,19,3487
lets-list-all-programs count --system=STLC --depth=20 +RTS -N,0.05060113584000001,0.0013638598285798252,0.050623027140000006,0.0358357,0.00978256,0.04817544414,0.052412319140000004,20,7072
lets-list-all-programs count --system=STLC --depth=21 +RTS -N,0.08495799834000002,0.002691556496337834,0.08548290264,0.07313220000000001,0.014694760000000001,0.08039431914,0.08945011114,21,17325
lets-list-all-programs count --system=STLC --depth=22 +RTS -N,0.19182598584000002,0.0034890182170625016,0.19097148614000004,0.1769791,0.027839860000000004,0.18632290214000002,0.19779581914000002,22,51176
lets-list-all-programs count --system=STLC --depth=23 +RTS -N,0.36174557743999997,0.0039287377419660995,0.36222761064,0.3415851,0.051748260000000004,0.35695861014,0.36588786114,23,66071
lets-list-all-programs count --system=STLC --depth=24 +RTS -N,0.6967873732400001,0.003786109608207453,0.69616486064,0.6671998999999997,0.09568865999999998,0.69167369414,0.70298861014,24,142508
lets-list-all-programs count --system=STLC --depth=25 +RTS -N,1.5847177356400002,0.009055277356282511,1.5834015271400002,1.5364431,0.20831086000000001,1.5663359441400002,1.59982123514,25,362981
lets-list-all-programs count --system=STLC --depth=26 +RTS -N,4.217724723440001,0.023484126763098877,4.21391115264,4.111677200000001,0.54289966,4.16705952714,4.24463127714,26,1086700
lets-list-all-programs count --system=STLC --depth=27 +RTS -N,8.40150746934,0.020777410361100885,8.396565777640001,8.1984162,1.09741136,8.377683194140001,8.44100311114,27,1484328
lets-list-all-programs count --system=STLC --depth=28 +RTS -N,17.003857577639998,0.060167736745576204,17.007583985639997,16.606038599999998,2.2024860599999996,16.924219111139998,17.132945903139998,28,3353864
lets-list-all-programs count --system=STLC --depth=29 +RTS -N,40.708130490040006,0.18207786392606923,40.736366860640004,39.777522999999995,5.27715386,40.428471486140005,40.953275694140004,29,8847484
lets-list-all-programs count --system=STLC --depth=30 +RTS -N,111.46264337324001,0.333853820331004,111.44513948614001,108.89058560000001,14.55667406,111.02763840214,112.02724931914,30,26982292
