command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLC --depth=1 +RTS -N,0.01638470216,0.0005361425327296838,0.01650653746,0.0024985399999999996,0.005111260000000001,0.014271496460000001,0.016845079460000002,1,0
lets-list-all-programs count --system=STLC --depth=2 +RTS -N,0.01661738746,0.00020577111105149896,0.016602099960000002,0.0025669900000000003,0.0052960099999999986,0.015928287460000003,0.01687616246,2,1
lets-list-all-programs count --system=STLC --depth=3 +RTS -N,0.016742860409999998,0.0002697365426919726,0.01663512046,0.00261264,0.00536736,0.01643112146,0.01733074646,3,1
lets-list-all-programs count --system=STLC --depth=4 +RTS -N,0.016483614560000002,0.0005650399602577632,0.01654118346,0.0025794900000000003,0.00511151,0.014623121460000003,0.01703524646,4,1
lets-list-all-programs count --system=STLC --depth=5 +RTS -N,0.01677734996,0.0002467383879894487,0.016755578960000003,0.00263644,0.005274610000000001,0.01644599546,0.017252496460000002,5,1
lets-list-all-programs count --system=STLC --depth=6 +RTS -N,0.016831431210000004,0.0002697563926949207,0.01679584996,0.0026504899999999997,0.005474209999999999,0.01649812046,0.01734478746,6,3
lets-list-all-programs count --system=STLC --depth=7 +RTS -N,0.01685002696,0.0002715501825431361,0.01681582896,0.0026593899999999998,0.00539076,0.01652653746,0.017289454460000003,7,3
lets-list-all-programs count --system=STLC --depth=8 +RTS -N,0.016756470859999997,0.00020322815242076529,0.016743412460000003,0.00266004,0.00516241,0.01649657946,0.01709803746,8,4
lets-list-all-programs count --system=STLC --depth=9 +RTS -N,0.016652189610000003,0.00046296709464908913,0.01671687096,0.0026601399999999996,0.00520606,0.01490449546,0.017123204460000003,9,7
lets-list-all-programs count --system=STLC --depth=10 +RTS -N,0.016833510309999997,0.00029696545015562713,0.016758703960000003,0.00271964,0.005444160000000001,0.01652574646,0.01758153746,10,20
lets-list-all-programs count --system=STLC --depth=11 +RTS -N,0.016789156160000002,0.00045406283233132797,0.01686709996,0.0027879899999999997,0.005477159999999999,0.01529724646,0.017289995460000002,11,20
lets-list-all-programs count --system=STLC --depth=12 +RTS -N,0.016874860210000002,0.0002770109517963951,0.016939453960000003,0.002845039999999999,0.0054379599999999995,0.01647362046,0.01729616246,12,32
lets-list-all-programs count --system=STLC --depth=13 +RTS -N,0.01682986656,0.0002678181035370833,0.01680816246,0.0030006899999999994,0.00532566,0.01648762046,0.01736070346,13,69
lets-list-all-programs count --system=STLC --depth=14 +RTS -N,0.016696362410000002,0.0005732721446789361,0.01674278796,0.0035813899999999994,0.00562876,0.01479207946,0.017334204460000002,14,205
lets-list-all-programs count --system=STLC --depth=15 +RTS -N,0.01636254796,0.00045924028675772355,0.016517891960000003,0.004289989999999999,0.00530071,0.01499137146,0.01681245446,15,229
lets-list-all-programs count --system=STLC --depth=16 +RTS -N,0.016381112310000008,0.00034847929962206046,0.01644884946,0.005456939999999999,0.00533946,0.01537562046,0.01677445346,16,422
lets-list-all-programs count --system=STLC --depth=17 +RTS -N,0.016248920660000003,0.000805395905817597,0.01655599546,0.008194090000000003,0.00580731,0.01433341246,0.01675091246,17,982
lets-list-all-programs count --system=STLC --depth=18 +RTS -N,0.02814230626,0.0008883214309496188,0.02805955846,0.015177089999999999,0.00691176,0.02693157946,0.02940824546,18,2890
lets-list-all-programs count --system=STLC --depth=19 +RTS -N,0.04019143936,0.0009469270428514314,0.04013593346000001,0.027020489999999998,0.00927051,0.038373495460000004,0.041751453460000004,19,3487
lets-list-all-programs count --system=STLC --depth=20 +RTS -N,0.06244921861,0.0013502466154944979,0.06254072446,0.047469090000000005,0.011803059999999999,0.06030341246,0.06582078746,20,7072
lets-list-all-programs count --system=STLC --depth=21 +RTS -N,0.11572140831000002,0.0040383958710632295,0.11672259946000002,0.09996293999999997,0.01864041,0.10829141246000001,0.12011557946000001,21,17325
lets-list-all-programs count --system=STLC --depth=22 +RTS -N,0.2626927269145454,0.00407672725531508,0.26313099546,0.24383153999999999,0.037301459999999995,0.25626907946,0.26960578745999997,22,51176
lets-list-all-programs count --system=STLC --depth=23 +RTS -N,0.51484762066,0.004311485408017334,0.5142516834599999,0.48799074,0.06909926,0.50624253746,0.52138932946,23,66071
lets-list-all-programs count --system=STLC --depth=24 +RTS -N,0.9928257957600002,0.028589834833074586,0.98787268296,0.94785314,0.13284716000000002,0.97071907946,1.07103695446,24,142508
lets-list-all-programs count --system=STLC --depth=25 +RTS -N,2.23474059996,0.009730256040645308,2.2310910164600006,2.17132384,0.28683855999999996,2.2237069124600004,2.2515655794600002,25,362981
lets-list-all-programs count --system=STLC --depth=26 +RTS -N,5.804788158359999,0.023453718950591274,5.80117662046,5.660789739999999,0.74161866,5.78203357946,5.85360037146,26,1086700
lets-list-all-programs count --system=STLC --depth=27 +RTS -N,11.834574954159997,0.033042301381524204,11.82806874646,11.54126894,1.56013416,11.785614662459999,11.882365996459999,27,1484328
lets-list-all-programs count --system=STLC --depth=28 +RTS -N,23.26404363736,0.06700680298533937,23.22802430796,22.714411439999996,3.040033459999999,23.20103612146,23.375120787460002,28,3353864
lets-list-all-programs count --system=STLC --depth=29 +RTS -N,56.07578483756,0.1777264267213694,56.05834574546,54.77401483999999,7.341264159999999,55.82550324646,56.31297557946,29,8847484
lets-list-all-programs count --system=STLC --depth=30 +RTS -N,153.73046653336,0.6056905671463039,153.89710282945998,150.17016184,19.94870766,152.96804491246,154.56445428746,30,26982292
