command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLLC --depth=1 +RTS -N,0.01630495296,0.0004095678559566035,0.01632796546,0.0024749,0.0047246599999999995,0.01540561096,0.01676261096,1,0
lets-list-all-programs count --system=STLLC --depth=2 +RTS -N,0.01652166596,0.00039274182907067295,0.016561423960000002,0.0025599999999999993,0.004795659999999999,0.015573861960000001,0.01697590396,2,1
lets-list-all-programs count --system=STLLC --depth=3 +RTS -N,0.01651250326,0.0006977337634615609,0.01669331996,0.0026048,0.005032859999999999,0.01462861196,0.01713981996,3,1
lets-list-all-programs count --system=STLLC --depth=4 +RTS -N,0.016835953259999998,0.0002431548371785856,0.01682846596,0.0026661999999999996,0.00521186,0.01656069496,0.01718256996,4,1
lets-list-all-programs count --system=STLLC --depth=5 +RTS -N,0.01665644916,0.0003144108935290462,0.01649375746,0.0026215999999999995,0.0052615599999999985,0.01629477796,0.01730636096,5,1
lets-list-all-programs count --system=STLLC --depth=6 +RTS -N,0.016894815759999997,0.00028716650095750643,0.01695384096,0.0026614,0.00523376,0.01646681996,0.01722344496,6,2
lets-list-all-programs count --system=STLLC --depth=7 +RTS -N,0.01663119476,0.0002391742276648273,0.01665286146,0.0026255000000000002,0.00496866,0.01631940296,0.01698594496,7,2
lets-list-all-programs count --system=STLLC --depth=8 +RTS -N,0.01663975326,0.0006629665072016254,0.01672925746,0.0026724999999999995,0.00526676,0.014930277959999998,0.01723440296,8,3
lets-list-all-programs count --system=STLLC --depth=9 +RTS -N,0.016526065760000003,0.000662138410128343,0.01668029946,0.002641,0.005135059999999999,0.014823027959999999,0.01713081996,9,3
lets-list-all-programs count --system=STLLC --depth=10 +RTS -N,0.016489511560000003,0.0008358962126771747,0.01667702796,0.0026819,0.00520496,0.01426527796,0.017210694959999998,10,5
lets-list-all-programs count --system=STLLC --depth=11 +RTS -N,0.01664074076,0.00020637555922573092,0.016590736459999998,0.0027107,0.005090259999999999,0.01641186096,0.01693540296,11,5
lets-list-all-programs count --system=STLLC --depth=12 +RTS -N,0.01670072816,0.0002820788537435742,0.01670323646,0.0028094000000000005,0.005126559999999999,0.01636073596,0.01709565296,12,9
lets-list-all-programs count --system=STLLC --depth=13 +RTS -N,0.01666078226,0.0002787859573767214,0.016634319959999998,0.0029842,0.005088259999999999,0.01631506996,0.01710227796,13,9
lets-list-all-programs count --system=STLLC --depth=14 +RTS -N,0.01671708246,0.00036656460950174454,0.01672615346,0.0036594,0.005430759999999999,0.01591786196,0.01716223696,14,16
lets-list-all-programs count --system=STLLC --depth=15 +RTS -N,0.016469974059999996,0.00041514082176679636,0.01653311196,0.0039287,0.00502036,0.01553994496,0.01689544496,15,16
lets-list-all-programs count --system=STLLC --depth=16 +RTS -N,0.01641545756,0.0002084691576309978,0.01641394446,0.0052584,0.0051553599999999995,0.01620611196,0.01692069496,16,34
lets-list-all-programs count --system=STLLC --depth=17 +RTS -N,0.01611324506,0.0007333299383958462,0.01642479946,0.007925499999999999,0.00555866,0.01422102896,0.01655411196,17,34
lets-list-all-programs count --system=STLLC --depth=18 +RTS -N,0.027782473959999998,0.000666939016683435,0.02762681996,0.013127599999999998,0.00626706,0.02696544496,0.028906110960000002,18,65
lets-list-all-programs count --system=STLLC --depth=19 +RTS -N,0.02954196576,0.004326840031742148,0.02843736146,0.020216699999999997,0.0072035599999999995,0.025746486960000002,0.03822965396,19,65
lets-list-all-programs count --system=STLLC --depth=20 +RTS -N,0.051346965759999995,0.0016304458864442098,0.05120444496,0.0373846,0.00983436,0.04869436096,0.054782611960000005,20,151
lets-list-all-programs count --system=STLLC --depth=21 +RTS -N,0.08831203676000002,0.004050838771500564,0.08746150796000002,0.0743579,0.014839459999999999,0.08208565296,0.09490486196000002,21,151
lets-list-all-programs count --system=STLLC --depth=22 +RTS -N,0.17372389486000003,0.00401318723157239,0.17444265296000003,0.1564975,0.02608876,0.16552856996,0.17781877796,22,315
lets-list-all-programs count --system=STLLC --depth=23 +RTS -N,0.29673390326,0.002732169444866685,0.29725838246,0.27779889999999996,0.042197059999999995,0.29275406996000003,0.30115165396000004,23,315
lets-list-all-programs count --system=STLLC --depth=24 +RTS -N,0.5845896074600001,0.0029541036052786,0.58422350746,0.5582309999999999,0.08128935999999999,0.58015590296,0.59120556996,24,738
lets-list-all-programs count --system=STLLC --depth=25 +RTS -N,1.20696269096,0.005875473390155475,1.20734688296,1.1652652000000001,0.16671655999999999,1.19731065296,1.21486511196,25,738
lets-list-all-programs count --system=STLLC --depth=26 +RTS -N,2.7425185238600003,0.006531807169718131,2.7426076739600003,2.6633374000000005,0.37749736,2.72995752796,2.75214915396,26,1708
lets-list-all-programs count --system=STLLC --depth=27 +RTS -N,4.94076379906,0.022700528550498,4.93343367396,4.8090417,0.6823733599999999,4.91147577796,4.97379894496,27,1708
lets-list-all-programs count --system=STLLC --depth=28 +RTS -N,10.13922511176,0.030844279775590625,10.14096165346,9.881180899999999,1.39889356,10.07712606996,10.18661673696,28,3969
lets-list-all-programs count --system=STLLC --depth=29 +RTS -N,21.884672707560004,0.08820218475408587,21.904765986460003,21.328888,3.04460546,21.75457352796,21.99209661196,29,3969
lets-list-all-programs count --system=STLLC --depth=30 +RTS -N,52.87881638266,0.20984137837459385,52.86977671596,51.55381619999999,7.374961059999999,52.63011361196,53.24679977796,30,9790
