command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STLLC --depth=1 +RTS -N,0.016566445540000002,0.0003498133120914786,0.01649983944,0.0025724,0.00481612,0.01595986044,0.017109652440000005,1,0
lets-list-all-programs count --system=STLLC --depth=2 +RTS -N,0.016602793590000005,0.000464632330868327,0.016545547440000002,0.00261335,0.0050742700000000005,0.014919027440000001,0.017163110440000004,2,1
lets-list-all-programs count --system=STLLC --depth=3 +RTS -N,0.01652716214,0.0006397653073328904,0.01653640194,0.0026090499999999995,0.005050569999999999,0.014189901440000001,0.017141402440000002,3,1
lets-list-all-programs count --system=STLLC --depth=4 +RTS -N,0.016551882989999996,0.0007632979110380152,0.016809297440000003,0.0026254000000000004,0.00499377,0.014180652440000002,0.01720781844,4,1
lets-list-all-programs count --system=STLLC --depth=5 +RTS -N,0.01642419984,0.0006076962295682902,0.016475756440000003,0.0025975999999999994,0.005047520000000001,0.01449660944,0.016992777440000002,5,1
lets-list-all-programs count --system=STLLC --depth=6 +RTS -N,0.016657249790000002,0.00026731961440592817,0.01665546444,0.0026303,0.00494927,0.01634577644,0.01712898544,6,2
lets-list-all-programs count --system=STLLC --depth=7 +RTS -N,0.016638816340000005,0.00026044873412225386,0.016599776440000002,0.0026326499999999994,0.00504607,0.01632586044,0.017103777440000002,7,2
lets-list-all-programs count --system=STLLC --depth=8 +RTS -N,0.01664280169,0.00025235224182351755,0.01663077644,0.0026363499999999995,0.005041369999999999,0.016290234440000002,0.01711444344,8,3
lets-list-all-programs count --system=STLLC --depth=9 +RTS -N,0.016621701790000002,0.00042767730201197197,0.016682339940000002,0.0026939499999999996,0.005035969999999999,0.015191693440000003,0.017122443440000003,9,3
lets-list-all-programs count --system=STLLC --depth=10 +RTS -N,0.016536630840000004,0.0004950353873088696,0.01643779794,0.0027367999999999997,0.005059869999999999,0.014823735440000001,0.01716969344,10,5
lets-list-all-programs count --system=STLLC --depth=11 +RTS -N,0.016644447639999997,0.000247620299115952,0.01665752694,0.0028108499999999993,0.00506722,0.01632427644,0.01705231844,11,5
lets-list-all-programs count --system=STLLC --depth=12 +RTS -N,0.01661534554,0.00023785936400227858,0.01657277694,0.0029459499999999997,0.00505752,0.016248693440000003,0.01694802644,12,9
lets-list-all-programs count --system=STLLC --depth=13 +RTS -N,0.016475937240000002,0.0005228125558593324,0.016522755939999998,0.0035649999999999996,0.005248320000000001,0.014523360440000002,0.017030818439999998,13,9
lets-list-all-programs count --system=STLLC --depth=14 +RTS -N,0.016353364390000003,0.00018663603473563029,0.016329485440000003,0.0044036,0.005015770000000001,0.016127277440000004,0.01683798544,14,16
lets-list-all-programs count --system=STLLC --depth=15 +RTS -N,0.01633444144,0.0001280039772013678,0.01632633944,0.005305150000000001,0.0049644699999999995,0.016090735440000004,0.016571026440000004,15,16
lets-list-all-programs count --system=STLLC --depth=16 +RTS -N,0.01624670594,0.0006776665480919765,0.01644458894,0.0088848,0.00552277,0.01417556844,0.01676469344,16,34
lets-list-all-programs count --system=STLLC --depth=17 +RTS -N,0.027717195490000002,0.0007874817187895446,0.02762069294,0.01675425,0.006478120000000001,0.026698735440000003,0.029182151440000005,17,34
lets-list-all-programs count --system=STLLC --depth=18 +RTS -N,0.03987763084,0.0011464846372816711,0.03986644394000001,0.029254299999999994,0.008187220000000002,0.03808535944,0.042086359440000005,18,65
lets-list-all-programs count --system=STLLC --depth=19 +RTS -N,0.07351963299000001,0.0013916049161379518,0.07341950544,0.05713099999999999,0.011690920000000002,0.07136269344,0.07605006844000001,19,65
lets-list-all-programs count --system=STLLC --depth=20 +RTS -N,0.1522404674926316,0.0024588021360128797,0.15184277644000002,0.13717357368421051,0.021478056842105266,0.14843527644,0.15761715144000002,20,151
lets-list-all-programs count --system=STLLC --depth=21 +RTS -N,0.32847521014000003,0.004000488524375411,0.32813461044000003,0.3081201,0.043792819999999996,0.32194469344000004,0.33406856844000005,21,151
lets-list-all-programs count --system=STLLC --depth=22 +RTS -N,0.6571272474400001,0.003360333336214535,0.65712008894,0.6308627,0.08489611999999999,0.65194115144,0.66404019344,22,315
lets-list-all-programs count --system=STLLC --depth=23 +RTS -N,1.5594248809400002,0.005265265867486573,1.56007302694,1.5141486,0.20051332,1.54933802644,1.5661985684400002,23,315
lets-list-all-programs count --system=STLLC --depth=24 +RTS -N,3.87576680604,0.01777137035435448,3.88059098544,3.7743944,0.5030320199999999,3.85123319344,3.89824448544,24,738
lets-list-all-programs count --system=STLLC --depth=25 +RTS -N,8.93449189764,0.02720272810232621,8.93884075594,8.7069234,1.1699404199999999,8.897052068439999,8.96894736044,25,738
lets-list-all-programs count --system=STLLC --depth=26 +RTS -N,20.559121214140003,0.05538067197414738,20.55887490144,20.0582736,2.6927932199999995,20.451440610440002,20.62592136044,26,1708
lets-list-all-programs count --system=STLLC --depth=27 +RTS -N,53.559139501740006,0.15415798545543333,53.55377075593999,52.215104,7.252304620000001,53.32785736044,53.786525776439994,27,1708
lets-list-all-programs count --system=STLLC --depth=28 +RTS -N,134.33585511014002,0.3986734320704603,134.32033908943998,131.04502609999997,17.894173419999998,133.77297398444,134.95319011043998,28,3969
lets-list-all-programs count --system=STLLC --depth=29 +RTS -N,328.61597684343997,2.4946810637733474,328.59092248544005,320.52026989999996,44.24312912,326.26605448444,334.89200306844003,29,3969
lets-list-all-programs count --system=STLLC --depth=30 +RTS -N,835.87133524354,3.9182990994674145,834.50189163094,813.0368193,115.67655671999998,830.93733131844,842.68073315244,30,9790
