command,mean,stddev,median,user,system,min,max,parameter_depth
lets-list-all-programs count --system=STLLCSeq --depth=1 +RTS -N,0.016284324240000002,0.0005230181013304841,0.01642811204,0.0024973799999999996,0.00465132,0.01512975754,0.01692350754,1,0
lets-list-all-programs count --system=STLLCSeq --depth=2 +RTS -N,0.016668599240000005,0.0014005856577275924,0.017023757540000004,0.00281148,0.005295619999999999,0.013998549540000002,0.01815500754,2,1
lets-list-all-programs count --system=STLLCSeq --depth=3 +RTS -N,0.01661822834,0.00046730418031532515,0.01658663254,0.00264958,0.00494632,0.015584466540000001,0.017473507540000002,3,1
lets-list-all-programs count --system=STLLCSeq --depth=4 +RTS -N,0.016851070240000002,0.0002584897193330904,0.016905508040000003,0.00267738,0.00507662,0.01642771654,0.01719363254,4,1
lets-list-all-programs count --system=STLLCSeq --depth=5 +RTS -N,0.01661964514,0.000423233917633211,0.016573466040000002,0.00264308,0.00513122,0.01570434054,0.01709321654,5,1
lets-list-all-programs count --system=STLLCSeq --depth=6 +RTS -N,0.01662822424,0.0005923704907863451,0.01677467454,0.00265798,0.00515162,0.015073965540000001,0.01707134054,6,2
lets-list-all-programs count --system=STLLCSeq --depth=7 +RTS -N,0.01670060764,0.0002765880021915667,0.016697924040000003,0.00265088,0.005007319999999999,0.016277132540000003,0.017080840540000003,7,2
lets-list-all-programs count --system=STLLCSeq --depth=8 +RTS -N,0.01720799924,0.0006711431657867294,0.01702665354,0.00272778,0.005287419999999999,0.01644317454,0.01832009054,8,3
lets-list-all-programs count --system=STLLCSeq --depth=9 +RTS -N,0.017670161639999998,0.0010396907322044757,0.01784896554,0.00293368,0.005466019999999999,0.01514529954,0.01863967454,9,3
lets-list-all-programs count --system=STLLCSeq --depth=10 +RTS -N,0.01673163264,0.000316834533323503,0.016690007540000003,0.00272518,0.00482482,0.016274174540000002,0.01722629854,10,5
lets-list-all-programs count --system=STLLCSeq --depth=11 +RTS -N,0.016943253340000002,0.0003953365621635431,0.016866382540000002,0.00285028,0.00502212,0.016523257540000003,0.017727132540000003,11,5
lets-list-all-programs count --system=STLLCSeq --depth=12 +RTS -N,0.016807649040000004,0.00023792130337349865,0.016746174040000002,0.00287378,0.005092020000000001,0.016542048540000003,0.017164466540000003,12,9
lets-list-all-programs count --system=STLLCSeq --depth=13 +RTS -N,0.016621020140000005,0.00022187338315464748,0.01659571604,0.00306958,0.00490512,0.01636846654,0.017019423540000002,13,9
lets-list-all-programs count --system=STLLCSeq --depth=14 +RTS -N,0.016710378340000002,0.00023310658119209484,0.016714799540000002,0.0036727799999999996,0.00518862,0.01628275754,0.017006007540000003,14,16
lets-list-all-programs count --system=STLLCSeq --depth=15 +RTS -N,0.01679117014,0.00044147245357004474,0.016750174540000003,0.004331880000000001,0.005453919999999999,0.01634850754,0.01777871554,15,16
lets-list-all-programs count --system=STLLCSeq --depth=16 +RTS -N,0.016931557540000003,0.00045317977105363224,0.01677667404,0.00589298,0.005645619999999999,0.01633259054,0.017890173540000002,16,34
lets-list-all-programs count --system=STLLCSeq --depth=17 +RTS -N,0.016351949240000004,0.0006461079119139375,0.016534382540000003,0.00896518,0.00574012,0.014550548540000003,0.01681000754,17,34
lets-list-all-programs count --system=STLLCSeq --depth=18 +RTS -N,0.028130349040000002,0.0008124306211310529,0.028258216040000003,0.01532238,0.00664902,0.026894673540000004,0.02925600754,18,65
lets-list-all-programs count --system=STLLCSeq --depth=19 +RTS -N,0.039680561639999994,0.001088249153191743,0.03983365354,0.02379468,0.008244719999999999,0.03764642454,0.04093388254,19,65
lets-list-all-programs count --system=STLLCSeq --depth=20 +RTS -N,0.06066877004000001,0.0030052251245217066,0.06178965304,0.04608578,0.01184302,0.05251963254,0.06271096654,20,151
lets-list-all-programs count --system=STLLCSeq --depth=21 +RTS -N,0.11228305764000002,0.0033978597579644985,0.11130446604000001,0.09764128000000001,0.01996672,0.10738000754,0.11844750754000001,21,151
lets-list-all-programs count --system=STLLCSeq --depth=22 +RTS -N,0.23636674504000005,0.00579348016273021,0.23507675754000001,0.21652378000000003,0.036682019999999996,0.22977771654000004,0.24692859054000002,22,315
lets-list-all-programs count --system=STLLCSeq --depth=23 +RTS -N,0.40007092414,0.004209840434303847,0.40038598654,0.37802578,0.06274662,0.39418684154000005,0.40584034154000004,23,315
lets-list-all-programs count --system=STLLCSeq --depth=24 +RTS -N,0.8142088991399999,0.004256749290316586,0.8130706950400001,0.77986798,0.12313811999999999,0.80981263254,0.82127042354,24,738
lets-list-all-programs count --system=STLLCSeq --depth=25 +RTS -N,1.7837365076399998,0.00624755648605599,1.78364819504,1.7252660799999997,0.26931192,1.7748147155399998,1.79289579854,25,738
lets-list-all-programs count --system=STLLCSeq --depth=26 +RTS -N,4.365872982639999,0.007109186882400625,4.367158549040001,4.23439448,0.6704733199999999,4.3561875075400005,4.37592709054,26,1708
lets-list-all-programs count --system=STLLCSeq --depth=27 +RTS -N,7.717185436640001,0.12234716111923069,7.66982527854,7.46278438,1.28522022,7.642460590540001,8.03606684154,27,1708
lets-list-all-programs count --system=STLLCSeq --depth=28 +RTS -N,16.07055073254,0.04258449571572072,16.077258195040002,15.625764779999997,2.43551322,16.00680854954,16.128404299539998,28,3969
lets-list-all-programs count --system=STLLCSeq --depth=29 +RTS -N,36.48559746574,0.051365036714560955,36.486470090539996,35.46952868,5.5869898199999986,36.42187979854,36.59394921554,29,3969
lets-list-all-programs count --system=STLLCSeq --depth=30 +RTS -N,96.31374189494,0.18306290456786484,96.34560619504,93.60441698000001,14.942475920000001,96.00773209054,96.57314334154,30,9790
