command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1 +RTS -N,0.016431270040000005,0.0003446876485735393,0.016440282640000005,0.0025038,0.004710939999999999,0.015939344640000002,0.01704792864,1,0
lets-list-all-programs count --system=STRLC --depth=2 +RTS -N,0.016714415840000003,0.0006423003106183277,0.016855032640000003,0.0026682999999999998,0.0052114399999999995,0.015058886640000001,0.017309677640000003,2,1
lets-list-all-programs count --system=STRLC --depth=3 +RTS -N,0.016183136640000005,0.0008835050526923366,0.01639855314,0.0025668,0.0048511399999999994,0.014006011640000003,0.016943469640000004,3,1
lets-list-all-programs count --system=STRLC --depth=4 +RTS -N,0.016589765740000005,0.0003026900228867991,0.016630303140000004,0.0026089999999999998,0.004959739999999999,0.015932178640000003,0.01697701164,4,1
lets-list-all-programs count --system=STRLC --depth=5 +RTS -N,0.016680599140000002,0.0002437541988325539,0.016715636640000003,0.0026281,0.005106039999999999,0.016349219640000003,0.016993511640000004,5,1
lets-list-all-programs count --system=STRLC --depth=6 +RTS -N,0.016649286640000004,0.00038677131332610486,0.016722511640000003,0.002644,0.00523184,0.015655720640000002,0.016977219640000003,6,2
lets-list-all-programs count --system=STRLC --depth=7 +RTS -N,0.01665908254,0.00023754495896681125,0.016655824140000004,0.0026360000000000003,0.005101340000000001,0.016360428640000004,0.017044136640000002,7,2
lets-list-all-programs count --system=STRLC --depth=8 +RTS -N,0.01665258664,0.0005919903241906353,0.016717136640000005,0.0026652,0.00509984,0.015244678640000002,0.01743280364,8,3
lets-list-all-programs count --system=STRLC --depth=9 +RTS -N,0.016583257339999997,0.00023447576293512978,0.016495095140000002,0.0026239999999999996,0.00520714,0.016331552640000004,0.017030594640000004,9,3
lets-list-all-programs count --system=STRLC --depth=10 +RTS -N,0.016666278140000004,0.000265222868779468,0.016652157140000005,0.0026869000000000003,0.00514734,0.016358386640000003,0.01706076164,10,5
lets-list-all-programs count --system=STRLC --depth=11 +RTS -N,0.01660577434,0.0002407735414852398,0.01653719914,0.0026954999999999995,0.00513994,0.01634071964,0.016980594640000003,11,5
lets-list-all-programs count --system=STRLC --depth=12 +RTS -N,0.01664775334,0.0002600250422726628,0.01661409464,0.0027448,0.00512144,0.016364970640000004,0.017037595640000004,12,9
lets-list-all-programs count --system=STRLC --depth=13 +RTS -N,0.01658954894,0.000210005654338189,0.016616074140000003,0.0028993999999999995,0.00499084,0.016322095640000003,0.01682621964,13,9
lets-list-all-programs count --system=STRLC --depth=14 +RTS -N,0.01659609084,0.00021944451960185474,0.01664740714,0.003191299999999999,0.00494384,0.016267928640000002,0.016840636640000003,14,16
lets-list-all-programs count --system=STRLC --depth=15 +RTS -N,0.01664490324,0.0002955705613401539,0.01656709514,0.0036777000000000003,0.00528714,0.01622776164,0.017094428640000003,15,18
lets-list-all-programs count --system=STRLC --depth=16 +RTS -N,0.016525857340000002,0.00022691187206444043,0.016457448640000004,0.004610399999999999,0.005336839999999999,0.01627355264,0.016876595640000002,16,36
lets-list-all-programs count --system=STRLC --depth=17 +RTS -N,0.016347370040000003,0.00012491866844044312,0.016364532140000002,0.0063213,0.005226639999999999,0.01616926164,0.016489677640000002,17,36
lets-list-all-programs count --system=STRLC --depth=18 +RTS -N,0.022433119940000003,0.0057117030942371305,0.026524594640000003,0.009545399999999999,0.005754939999999999,0.014161261640000002,0.02713863664,18,69
lets-list-all-programs count --system=STRLC --depth=19 +RTS -N,0.027959570140000008,0.001232499631403888,0.027763574140000004,0.014593399999999998,0.00650934,0.025489595640000005,0.02932830364,19,87
lets-list-all-programs count --system=STRLC --depth=20 +RTS -N,0.04028763244,0.0009104670398441796,0.03997211614,0.0261549,0.00796004,0.03914642864,0.04177938664,20,173
lets-list-all-programs count --system=STRLC --depth=21 +RTS -N,0.06327844904000002,0.0016663644863994724,0.06303438664,0.0496399,0.01149014,0.060201969640000005,0.06632305264,21,195
lets-list-all-programs count --system=STRLC --depth=22 +RTS -N,0.10670316174000001,0.002707275287006,0.10683069914000001,0.0930978,0.01691454,0.10092959464000001,0.11067380364,22,385
lets-list-all-programs count --system=STRLC --depth=23 +RTS -N,0.18474801594,0.0026609671365325892,0.18488144914000004,0.1706035,0.02716914,0.17998796964000002,0.18907305364000002,23,505
lets-list-all-programs count --system=STRLC --depth=24 +RTS -N,0.36058499494000007,0.004114187984367998,0.36066286614000004,0.34111639999999993,0.04933084,0.35501213664000003,0.36676567864000004,24,970
lets-list-all-programs count --system=STRLC --depth=25 +RTS -N,0.7047782200399999,0.0039055187188882325,0.70497915764,0.6767033,0.09583434,0.69702626164,0.71121976164,25,1299
lets-list-all-programs count --system=STRLC --depth=26 +RTS -N,1.37749709074,0.005419403697809176,1.37679699064,1.3362464,0.18632423999999997,1.36942117864,1.38811505364,26,2492
lets-list-all-programs count --system=STRLC --depth=27 +RTS -N,2.67856173244,0.008898764192276821,2.67983134514,2.6080199,0.3622563399999999,2.66510501164,2.69292884564,27,3408
lets-list-all-programs count --system=STRLC --depth=28 +RTS -N,5.34913155754,0.015285914491731115,5.34824226164,5.2166888999999985,0.72093784,5.32816196964,5.37263588664,28,6518
lets-list-all-programs count --system=STRLC --depth=29 +RTS -N,10.60014242414,0.03259713597269772,10.59323513664,10.340479799999999,1.4469143399999997,10.56267867864,10.66887271964,29,9786
lets-list-all-programs count --system=STRLC --depth=30 +RTS -N,21.18787971584,0.0643514903642546,21.16834734514,20.680722,2.9114080400000004,21.122346011639998,21.298196178639998,30,17850
