command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLC --depth=1 +RTS -N,0.016644660760000006,0.0003115197214343526,0.016581552460000003,0.00256276,0.0048797599999999995,0.016009136460000004,0.01710221946,1,0
lets-list-all-programs count --system=STRLC --depth=2 +RTS -N,0.01672214416,0.00024748896852865775,0.016707468960000003,0.00262496,0.005066009999999999,0.01642380246,0.017114511460000002,2,1
lets-list-all-programs count --system=STRLC --depth=3 +RTS -N,0.016674314910000005,0.0003091606986833314,0.016575656460000004,0.0026177600000000002,0.005021259999999999,0.016040677460000003,0.017179344460000003,3,1
lets-list-all-programs count --system=STRLC --depth=4 +RTS -N,0.01665059626,0.00039562198201933263,0.016708302460000005,0.002625060000000001,0.0050461099999999995,0.015347052460000003,0.01714738546,4,1
lets-list-all-programs count --system=STRLC --depth=5 +RTS -N,0.01656356696,0.000545236097503448,0.016644218960000002,0.0026109099999999997,0.00499056,0.014573885460000002,0.01721713646,5,1
lets-list-all-programs count --system=STRLC --depth=6 +RTS -N,0.016469481860000003,0.0005642914035837013,0.01646061496,0.00258876,0.0049712099999999985,0.014592177460000001,0.01713113646,6,2
lets-list-all-programs count --system=STRLC --depth=7 +RTS -N,0.016615683710000002,0.0003631359342638391,0.016644551960000004,0.0026286600000000005,0.004980059999999998,0.01550276046,0.017088343460000002,7,2
lets-list-all-programs count --system=STRLC --depth=8 +RTS -N,0.01670568561,0.00026181852286575886,0.016653135460000003,0.0026583099999999997,0.004973309999999999,0.016379802460000002,0.017243636460000003,8,3
lets-list-all-programs count --system=STRLC --depth=9 +RTS -N,0.016600142010000003,0.0005038261779787566,0.01662680246,0.0026657600000000005,0.0050271099999999996,0.014740885460000002,0.017110385460000002,9,3
lets-list-all-programs count --system=STRLC --depth=10 +RTS -N,0.016663285760000007,0.00034420387653511365,0.016645656460000005,0.00273606,0.00499431,0.015831385460000003,0.01710680246,10,5
lets-list-all-programs count --system=STRLC --depth=11 +RTS -N,0.016684169160000005,0.0002521752977253176,0.016661802460000003,0.00278141,0.00503921,0.01637021946,0.01715930246,11,5
lets-list-all-programs count --system=STRLC --depth=12 +RTS -N,0.016645316960000003,0.0005114551792644921,0.016761656460000003,0.00286256,0.005023059999999999,0.014796219460000003,0.017164260460000004,12,9
lets-list-all-programs count --system=STRLC --depth=13 +RTS -N,0.016561933660000007,0.0004369222084883976,0.01656167696,0.00308076,0.005017809999999999,0.014985010460000003,0.017055218460000004,13,9
lets-list-all-programs count --system=STRLC --depth=14 +RTS -N,0.016689342160000002,0.00023983810829963467,0.01673140696,0.00374931,0.005302159999999999,0.01634521846,0.017015136460000004,14,16
lets-list-all-programs count --system=STRLC --depth=15 +RTS -N,0.016373187759999998,0.0006241312695924342,0.016517844460000004,0.0044586600000000014,0.005265810000000001,0.014587885460000002,0.017112385460000004,15,18
lets-list-all-programs count --system=STRLC --depth=16 +RTS -N,0.016199142009999997,0.0005339461173367565,0.016260239960000002,0.00579731,0.005029259999999999,0.014105594460000002,0.016607636460000002,16,36
lets-list-all-programs count --system=STRLC --depth=17 +RTS -N,0.017459662710000004,0.004020976043968808,0.016410531460000002,0.00919381,0.005517509999999999,0.014393635460000002,0.026873677460000002,17,36
lets-list-all-programs count --system=STRLC --depth=18 +RTS -N,0.027955648410000006,0.0007165009803308738,0.027823156960000005,0.015001359999999997,0.00613941,0.026751218460000004,0.029159011460000005,18,69
lets-list-all-programs count --system=STRLC --depth=19 +RTS -N,0.03996663786,0.000971434641218928,0.040029865459999994,0.025049259999999997,0.007835159999999999,0.03835876146,0.04226509346,19,87
lets-list-all-programs count --system=STRLC --depth=20 +RTS -N,0.06294565036000001,0.0016325769446388762,0.06293111496,0.04886801,0.01030391,0.06046276046,0.06649963546,20,173
lets-list-all-programs count --system=STRLC --depth=21 +RTS -N,0.11174269631,0.004090506527964106,0.11091055246,0.09909756,0.01608441,0.10576351046,0.11742817746,21,195
lets-list-all-programs count --system=STRLC --depth=22 +RTS -N,0.20657237388857144,0.0030948504343224948,0.20687032346000003,0.19026646,0.026749988571428567,0.19980738546000001,0.21090701046000002,22,385
lets-list-all-programs count --system=STRLC --depth=23 +RTS -N,0.39856016906,0.005068964047599253,0.39961378146000004,0.37883706,0.048860659999999986,0.39143251046,0.40633876046,23,505
lets-list-all-programs count --system=STRLC --depth=24 +RTS -N,0.8409910774600002,0.005461415438140268,0.8402882819600002,0.81309846,0.10017385999999999,0.8295195524600001,0.8480674274600001,24,970
lets-list-all-programs count --system=STRLC --depth=25 +RTS -N,1.7255046816600004,0.007300417126092525,1.72539665696,1.6786516600000003,0.20432155999999999,1.7156476774600002,1.73683467746,25,1299
lets-list-all-programs count --system=STRLC --depth=26 +RTS -N,3.53961089406,0.02015225070022216,3.54237984396,3.45677966,0.41720396,3.51098221946,3.56511267746,26,2492
lets-list-all-programs count --system=STRLC --depth=27 +RTS -N,7.5645406817600005,0.03547188870076733,7.56047011496,7.393858960000001,0.9010847600000002,7.50107217746,7.61639380246,27,3408
lets-list-all-programs count --system=STRLC --depth=28 +RTS -N,16.43533129016,0.07708636954248095,16.48212605296,16.079207859999997,1.96973536,16.28007330246,16.50438405246,28,6518
lets-list-all-programs count --system=STRLC --depth=29 +RTS -N,34.87390634425999,0.1697049789301863,34.91744946896,34.09509526,4.27768516,34.63437992746,35.05488221946,29,9786
lets-list-all-programs count --system=STRLC --depth=30 +RTS -N,76.06249949856,0.3757690208379832,76.06367878196,74.42422646,9.24882356,75.40706509446,76.73380701146,30,17850
