command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count --system=STRLCSeq --depth=1 +RTS -N,0.0175126799,0.000948235564636464,0.017770813500000003,0.00297212,0.005082100000000001,0.016119355000000002,0.019000730000000004,1,0
lets-list-all-programs count --system=STRLCSeq --depth=2 +RTS -N,0.016624563200000005,0.0009752700329576882,0.016907146500000005,0.00272902,0.005452500000000001,0.014459146,0.017545272,2,1
lets-list-all-programs count --system=STRLCSeq --depth=3 +RTS -N,0.0166897133,0.0003627496865789447,0.016597251,0.00265382,0.0054050999999999995,0.01608723,0.017424980000000003,3,1
lets-list-all-programs count --system=STRLCSeq --depth=4 +RTS -N,0.0169954342,0.0002773934406986259,0.017067397000000005,0.00270462,0.0057351,0.016631855,0.017408605,4,1
lets-list-all-programs count --system=STRLCSeq --depth=5 +RTS -N,0.016625700900000005,0.0005709756754691343,0.016636792500000004,0.00263812,0.0053432,0.015130314,0.017067855000000003,5,1
lets-list-all-programs count --system=STRLCSeq --depth=6 +RTS -N,0.016813805100000002,0.0007449791882598626,0.016945334000000003,0.0026770199999999996,0.005648700000000001,0.01496773,0.017723730000000004,6,2
lets-list-all-programs count --system=STRLCSeq --depth=7 +RTS -N,0.016759550800000002,0.00024919848582284756,0.0167297305,0.00262992,0.0051968000000000006,0.016513563000000002,0.017242855,7,2
lets-list-all-programs count --system=STRLCSeq --depth=8 +RTS -N,0.017522171600000004,0.001199389704892192,0.01782923,0.00289592,0.0057944,0.014913397,0.018709022000000002,8,3
lets-list-all-programs count --system=STRLCSeq --depth=9 +RTS -N,0.016473334200000002,0.0003940308870585888,0.0165963135,0.00263812,0.0048252,0.015411105,0.016734313,9,3
lets-list-all-programs count --system=STRLCSeq --depth=10 +RTS -N,0.01681623,0.000542128597705994,0.016937501,0.00279732,0.005458599999999999,0.01547673,0.017346605,10,5
lets-list-all-programs count --system=STRLCSeq --depth=11 +RTS -N,0.016744554700000004,0.0002794555895129155,0.016631000500000003,0.00274812,0.0053214,0.016473938000000004,0.017223063000000004,11,5
lets-list-all-programs count --system=STRLCSeq --depth=12 +RTS -N,0.016845125800000003,0.0002936104244909125,0.016856959500000004,0.0027902200000000004,0.005585,0.016451897000000004,0.017195188000000004,12,9
lets-list-all-programs count --system=STRLCSeq --depth=13 +RTS -N,0.0167535465,0.00035789544662256716,0.016633334000000003,0.00297702,0.0052767,0.016178813000000004,0.017253855000000002,13,9
lets-list-all-programs count --system=STRLCSeq --depth=14 +RTS -N,0.0167382426,0.0002169467214446906,0.016752376000000003,0.00319952,0.0051608999999999995,0.016447105000000004,0.017014980000000002,14,16
lets-list-all-programs count --system=STRLCSeq --depth=15 +RTS -N,0.017252250900000005,0.0013447992441623603,0.017868897,0.004000519999999999,0.005682899999999999,0.014596813000000002,0.018382438,15,18
lets-list-all-programs count --system=STRLCSeq --depth=16 +RTS -N,0.016260063400000004,0.0005154595723693142,0.016401146000000002,0.0046795199999999995,0.005046400000000001,0.014875272,0.016672855000000004,16,36
lets-list-all-programs count --system=STRLCSeq --depth=17 +RTS -N,0.0164329883,0.00012425569799950578,0.016412501000000003,0.006669120000000001,0.0054654000000000005,0.016252605000000003,0.016655563,17,36
lets-list-all-programs count --system=STRLCSeq --depth=18 +RTS -N,0.0274048089,0.0007150275753088824,0.0274351465,0.01056722,0.0062758,0.025881563000000003,0.028296771000000002,18,69
lets-list-all-programs count --system=STRLCSeq --depth=19 +RTS -N,0.02840463410000001,0.0008303800768149547,0.028624875500000004,0.016246020000000007,0.006909200000000002,0.027002980000000003,0.029388522,19,87
lets-list-all-programs count --system=STRLCSeq --depth=20 +RTS -N,0.04216393850000001,0.004784799824816274,0.0401137925,0.03070412,0.010739899999999998,0.038222022,0.052785355000000006,20,173
lets-list-all-programs count --system=STRLCSeq --depth=21 +RTS -N,0.0740251091,0.0010208044775188547,0.074067917,0.05952182,0.0135639,0.072380064,0.07518873,21,195
lets-list-all-programs count --system=STRLCSeq --depth=22 +RTS -N,0.1319760801,0.0023378661447031115,0.13178173,0.11913491999999999,0.022097799999999994,0.129105563,0.137544189,22,385
lets-list-all-programs count --system=STRLCSeq --depth=23 +RTS -N,0.23893914680000003,0.007484480424230842,0.239304063,0.22007892,0.0386586,0.22995723,0.25608368800000003,23,505
lets-list-all-programs count --system=STRLCSeq --depth=24 +RTS -N,0.48115515890000005,0.0064561935229563204,0.47997329250000004,0.45672401999999995,0.0742592,0.47148448000000004,0.493587313,24,970
lets-list-all-programs count --system=STRLCSeq --depth=25 +RTS -N,1.0107095342999999,0.009474798437941107,1.01108048,0.97357442,0.15322370000000002,0.9966698970000001,1.026019772,25,1299
lets-list-all-programs count --system=STRLCSeq --depth=26 +RTS -N,2.1975862633000003,0.021812726757242076,2.1953655425,2.1284802199999997,0.32832009999999995,2.169574772,2.245047605,26,2492
lets-list-all-programs count --system=STRLCSeq --depth=27 +RTS -N,4.3874483383000005,0.016024855930045524,4.388841813500001,4.26048902,0.6504768000000001,4.36232923,4.409005521,27,3408
lets-list-all-programs count --system=STRLCSeq --depth=28 +RTS -N,9.296079996500001,0.015820250579644313,9.293299105000001,9.04618822,1.3726599,9.273207563,9.322984188,28,6518
lets-list-all-programs count --system=STRLCSeq --depth=29 +RTS -N,20.1864907552,0.03362143804723472,20.187256001,19.642447620000002,3.0259812999999998,20.134784438,20.232019022,29,9786
lets-list-all-programs count --system=STRLCSeq --depth=30 +RTS -N,44.313141296699996,0.1470853522406859,44.317730542499994,43.12650142,6.6674887,44.094657813999994,44.575573772,30,17850
