command,mean,stddev,median,user,system,min,max,parameter_depth,count
lets-list-all-programs count -d 1,0.016645376580000003,0.00040945973520262066,0.01682629718,0.0025101100000000003,0.0024312500000000003,0.01574931868,0.017066943680000002,1,0
lets-list-all-programs count -d 2,0.016957095430000003,0.00012911594981373386,0.016937943179999998,0.0026788100000000007,0.00259065,0.01677881868,0.01734006868,2,1
lets-list-all-programs count -d 3,0.01708705793,0.00010806431523567444,0.01705702618,0.0027762100000000003,0.002632099999999999,0.016909651680000002,0.01735319368,3,1
lets-list-all-programs count -d 4,0.017036424730000003,0.00011086662836583403,0.01704319318,0.00274326,0.00261045,0.01685381868,0.01722181768,4,1
lets-list-all-programs count -d 5,0.017055545330000005,0.0001084380961006031,0.01708108918,0.00272606,0.0026479,0.01683123468,0.01723640168,5,1
lets-list-all-programs count -d 6,0.017009253730000003,0.0001430834045632768,0.01700223468,0.0027415599999999997,0.0026059499999999992,0.01683215168,0.01734444268,6,3
lets-list-all-programs count -d 7,0.017055595479999998,0.00007898185808919048,0.01706186018,0.0027536600000000002,0.002639,0.01690948468,0.01718181868,7,3
lets-list-all-programs count -d 8,0.01704797888,0.00011418673243770525,0.01703794368,0.00276471,0.00264185,0.01685598468,0.01725485968,8,4
lets-list-all-programs count -d 9,0.01681451208,0.0005699071515805654,0.01690363118,0.002715660000000001,0.0026444,0.01448002668,0.01726490168,9,7
lets-list-all-programs count -d 10,0.01662214553,0.00071970334227223,0.01683656818,0.0027560600000000003,0.00268195,0.014373485679999999,0.01730344368,10,20
lets-list-all-programs count -d 11,0.016862285079999997,0.00048384961263462246,0.01699273518,0.00283876,0.002648,0.015144026679999999,0.01714490168,11,20
lets-list-all-programs count -d 12,0.016473495430000002,0.0007651211818521489,0.01679165168,0.00283286,0.0025757999999999996,0.01449377668,0.01711640168,12,32
lets-list-all-programs count -d 13,0.016623995430000003,0.0005319178815885691,0.01678633868,0.0029444100000000006,0.00249615,0.01481552668,0.01693848568,13,69
lets-list-all-programs count -d 14,0.01671792458,0.00030216819077720356,0.01677940118,0.00321586,0.0025075999999999996,0.01548227668,0.016893568680000002,14,205
lets-list-all-programs count -d 15,0.016602449579999998,0.0001802625128658931,0.016630193180000002,0.003661960000000001,0.0024738499999999997,0.01594040168,0.01686177668,15,229
lets-list-all-programs count -d 16,0.01631429133,0.00015847770155592871,0.01630169318,0.00432581,0.0023801000000000004,0.01604152668,0.01667565168,16,422
lets-list-all-programs count -d 17,0.016026097429999997,0.00014793929650042074,0.016001818180000002,0.005689309999999999,0.00220665,0.01581256868,0.01641035968,17,982
lets-list-all-programs count -d 18,0.015728007930000003,0.00027909758680128824,0.01562335968,0.010534159999999999,0.0020177,0.01538648468,0.01633761068,18,2890
lets-list-all-programs count -d 19,0.028143297529999993,0.000990592919790188,0.028599339180000002,0.01926921,0.00225495,0.025356234680000003,0.02891073468,19,3487
lets-list-all-programs count -d 20,0.04048361623,0.001082260396535416,0.04088190168,0.034195010000000005,0.0022386,0.03837577668,0.04159169268,20,7072
lets-list-all-programs count -d 21,0.07840312668,0.00033030400035979657,0.07846454768000001,0.06726126,0.0020808,0.07706223468000001,0.07868615168000001,21,17325
lets-list-all-programs count -d 22,0.16597943115058827,0.0006375296672911716,0.16615406768000002,0.16118480705882351,0.0022098294117647056,0.16368261068,0.16634181868,22,51176
lets-list-all-programs count -d 23,0.32851604327999995,0.0008370613808449437,0.32884221418000004,0.31547586,0.0024036999999999995,0.32639931768,0.32903244368,23,66071
lets-list-all-programs count -d 24,0.6290794143799999,0.00004773088207170042,0.62907163118,0.62132796,0.0026479,0.62901290168,0.62913965168,24,142508
lets-list-all-programs count -d 25,1.4099921266800002,0.006760631319942355,1.40994529768,1.39784286,0.0043798,1.40306077668,1.4168680266800002,25,362981
lets-list-all-programs count -d 26,3.6140414101799996,0.010996228541578307,3.61081042268,3.5994900599999995,0.005250899999999999,3.60174219368,3.62868031868,26,1086700
lets-list-all-programs count -d 27,7.25408598518,0.031558101956970036,7.25552150618,7.230979159999999,0.0177958,7.19254044368,7.29799811068,27,1484328
lets-list-all-programs count -d 28,14.750334130979999,0.06371271400297249,14.74122317268,14.707642060000001,0.0368612,14.68080523568,14.84141052668,28,3353864
lets-list-all-programs count -d 29,35.181488734880006,0.43120982823950044,35.12436827668,34.96562795999999,0.0555306,34.75442877668,36.32049690168,29,8847484
lets-list-all-programs count -d 30,94.29242697248,0.43442299990975736,94.37529673518,94.16521015999999,0.1388223,93.69277831868,94.72216035968,30,26982292
