command,mean,stddev,median,user,system,min,max,parameter_depth
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=1 +RTS  -RTS,0.016444887450000004,0.000449824684669305,0.016512167,0.00246885,0.0024986,0.014975083,0.017281375,1
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=2 +RTS  -RTS,0.0166840271,0.000433853929997534,0.0167516665,0.002591500000000001,0.00287735,0.01540675,0.017336667,2
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=3 +RTS  -RTS,0.01652606645,0.00045339063997285777,0.0167210625,0.0025615,0.0028181,0.015010791,0.016919708000000002,3
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=4 +RTS  -RTS,0.01668235405,0.0002463541809189782,0.016731958,0.0025531,0.0028400000000000005,0.016006209,0.017027375,4
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=5 +RTS  -RTS,0.016571762499999997,0.00022166503213882273,0.016632729000000002,0.0025500499999999995,0.0027395499999999995,0.016011833,0.016816208000000003,5
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=6 +RTS  -RTS,0.016647604099999998,0.00018891887537160907,0.016688271,0.0025867,0.0028232999999999995,0.016022375000000002,0.016825041000000002,6
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=7 +RTS  -RTS,0.016617389500000003,0.0002793926529235004,0.0166611665,0.00256665,0.00283775,0.015687208,0.016932167,7
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=8 +RTS  -RTS,0.016596672899999998,0.00032109812682285633,0.0167149375,0.0026031500000000003,0.0028322,0.015512583000000002,0.016872250000000002,8
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=9 +RTS  -RTS,0.016644610400000003,0.0004792427051492582,0.016748791500000002,0.0026984,0.002882449999999999,0.015048167000000001,0.01720975,9
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=10 +RTS  -RTS,0.016658718600000004,0.00021780037156060356,0.016671541,0.0026513,0.0028200000000000005,0.0160635,0.017041833000000003,10
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=O --depth=11 +RTS  -RTS,0.016567525049999997,0.0003961439955454098,0.016684604,0.0027567,0.0028060999999999997,0.015437166,0.016983625000000002,11
