command,mean,stddev,median,user,system,min,max,parameter_depth
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=1 +RTS  -RTS,0.01647922925,0.00030878788209041095,0.0165858335,0.0024146,0.0025236499999999997,0.015744459000000002,0.016825083,1
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=2 +RTS  -RTS,0.016775481249999998,0.00017160621491164776,0.0167847705,0.0026428999999999992,0.0027752999999999996,0.016490917,0.017044083,2
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=3 +RTS  -RTS,0.01674494795,0.000246486589720943,0.016745375,0.0026553999999999996,0.00260705,0.01609375,0.017084375000000002,3
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=4 +RTS  -RTS,0.016639658450000004,0.0001745989006981354,0.016668104000000003,0.0025412499999999997,0.00273505,0.016234292,0.016937292,4
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=5 +RTS  -RTS,0.0166148979,0.00022881630135246307,0.0167223335,0.0025391500000000004,0.0027783,0.016018291,0.016817125000000002,5
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=6 +RTS  -RTS,0.016629381349999996,0.0003238846787507901,0.016771917,0.0025840999999999993,0.00280145,0.015899167000000002,0.017152916,6
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=7 +RTS  -RTS,0.016621208350000003,0.0002883054351581207,0.016686479500000004,0.0025548000000000003,0.00273245,0.015903291,0.017143125000000002,7
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=8 +RTS  -RTS,0.01664747705,0.0004588013169066903,0.0167431045,0.0026267500000000006,0.0028459,0.014969041,0.017203792000000002,8
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=9 +RTS  -RTS,0.0165778043,0.00026335242731188754,0.016567375000000002,0.0026023999999999995,0.00265565,0.015983708000000003,0.017256084,9
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=10 +RTS  -RTS,0.01662567505,0.00023217135669393574,0.016699187500000004,0.0026436000000000003,0.00278645,0.015932417,0.016803125000000002,10
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=11 +RTS  -RTS,0.016884349899999998,0.00022001930953104024,0.016811916500000003,0.0028008,0.00293835,0.016696083,0.017683041,11
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=12 +RTS  -RTS,0.016674985450000006,0.00023930029318003314,0.016713458,0.0028161500000000008,0.0028147499999999995,0.016200000000000003,0.017080333,12
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=13 +RTS  -RTS,0.016656345700000005,0.00020238261418623068,0.016639604000000002,0.00306115,0.0026463499999999996,0.01632725,0.017144291000000002,13
/Users/wen/Projects/wen.works/dist-newstyle/build/aarch64-osx/ghc-9.12.2/lets-list-all-programs-0.1.0.0/t/lets-list-all-programs/build/lets-list-all-programs/lets-list-all-programs count --system=STRLC --parallel-conjunction-strategy=OSF --depth=14 +RTS  -RTS,0.016576175000000002,0.0000833695850541748,0.0165742495,0.0033653500000000005,0.0026806000000000004,0.016467458,0.016731875,14
